frame,track_id,mu_CV,mu_CA,dominant,nu_CV_norm,nu_CA_norm,L_CV,L_CA,ax,ay,P_trace
2,1,0.6416,0.3584,CV,73.8812,73.8812,-17.094260222393522,-17.079266162033615,-16.91231,4.42835,995.4511
3,1,0.445,0.555,CA,99.7116,99.252,-34.05220670835869,-33.32227959831613,-86.55949,17.68921,1718.5126
4,1,0.1087,0.8913,CA,103.4724,99.8396,-29.11963668657662,-26.792038571485417,-197.09598,62.40154,3204.1551
5,1,0.1985,0.8015,CA,67.505,61.3367,-23.185582303539427,-22.038729061890287,-311.6986,100.04093,3997.0974
6,1,0.4071,0.5929,CA,20.5866,12.066,-29.699924012472927,-29.44634275334358,-312.34661,102.6918,4133.0473
6,2,0.7,0.3,CV,76.7664,76.7664,-25.705434571978067,-25.705434571978067,0.0,0.0,314.3487
7,1,0.6709,0.3291,CV,43.9637,50.8957,-32.466745495958186,-33.00870086650089,-80.51903,47.83872,3652.9438
7,2,0.6129,0.3871,CV,134.6929,134.6929,-94.79676335331197,-94.6593161325026,-20.47104,-0.47302,497.1932
8,1,0.4782,0.5218,CA,58.9935,57.6381,-29.69185657878831,-29.051573425959273,-153.39477,57.54182,3257.4084
8,2,0.5186,0.4814,CV,90.8317,90.073,-25.77943881402816,-25.387577806558276,-39.91278,8.78353,853.1275
8,3,0.7,0.3,CV,35.15,35.15,-11.959520127986432,-11.959520127986432,0.0,0.0,537.9102
9,1,0.5959,0.4041,CV,6.2521,6.3143,-15.630390931243312,-15.747809487981842,-102.7419,39.21585,2837.5508
9,2,0.0727,0.9273,CA,196.4815,194.6864,-100.79434792253161,-97.9201445085248,-128.66617,21.77306,1656.3557
9,3,0.6152,0.3848,CV,100.6741,100.6741,-71.36871912602061,-71.24068666431185,-34.84856,12.87745,732.7179
10,1,0.6603,0.3397,CV,25.7809,28.8398,-11.056264517635299,-11.279758640319152,-10.4852,7.58722,2298.7308
10,2,0.2361,0.7639,CA,92.4779,88.6619,-49.33725508097738,-48.463212162798,-194.24996,28.72599,2432.8793
10,3,0.4541,0.5459,CA,89.834,88.9275,-64.76156848905893,-64.10794861524961,-72.8795,14.26246,1372.5795
11,1,0.5793,0.4207,CV,44.7206,44.4198,-14.412173213050812,-14.194945562914775,-40.97113,19.15483,1730.6481
11,2,0.2326,0.7674,CA,86.2992,80.3586,-52.32943223763249,-51.20513096726964,-268.26492,40.70932,3420.0356
11,3,0.2192,0.7808,CA,104.7185,101.0585,-65.89971242843751,-64.39233266677212,-147.92712,24.9601,2611.6629
12,1,0.5125,0.4875,CV,61.6176,63.4852,-20.065808429044743,-19.698712344708824,53.52114,-20.45049,1470.5667
12,2,0.267,0.733,CA,71.5971,63.627,-57.59719590099053,-56.661545465627626,-348.27015,61.76322,4689.3992
12,3,0.0191,0.9809,CA,194.4411,190.0723,-105.54261132597114,-101.69818729527267,-374.55376,89.55553,3883.3284
13,1,0.3408,0.6592,CA,48.7396,46.2261,-16.15994264578583,-15.18000720908222,89.07467,-35.47565,1362.2556
13,2,0.4556,0.5444,CA,30.3603,24.2493,-69.20453250513313,-69.05279052005099,-325.49064,51.93443,5886.8269
13,3,0.4366,0.5634,CA,10.0337,11.5557,-66.65824104568418,-66.78088813126807,-362.43256,78.48158,3789.362
14,1,0.4308,0.5692,CA,22.6363,19.1657,-15.430886377668891,-15.075265886621262,97.13463,-40.42435,1332.7771
14,2,0.5729,0.4271,CV,36.4619,35.8257,-59.7398678615237,-59.794598081763056,-233.99808,40.15149,6311.8197
14,3,0.5873,0.4127,CV,8.9427,9.4901,-63.36060255054266,-63.50152287047081,-250.66994,49.39705,3996.8791
15,1,0.5341,0.4659,CV,19.3455,18.1942,-23.22575822698345,-23.158697549620825,79.12438,-36.28923,1291.8536
15,2,0.6211,0.3789,CV,92.0172,94.7384,-43.04878772113608,-43.13527805918589,-45.41835,16.99061,5591.6169
15,3,0.6706,0.3294,CV,15.5523,19.5766,-63.74494727865569,-64.0270491011963,-102.61511,15.17619,3518.6464
16,1,0.6272,0.3728,CV,45.9101,47.601,-16.37046553305496,-16.539387041509773,2.93991,-8.80696,1224.3899
16,2,0.5805,0.4195,CV,48.4439,46.7454,-21.975014380812087,-21.82136509356524,-71.60417,21.53009,4535.8727
16,3,0.6566,0.3434,CV,23.453,23.4281,-79.45733554071771,-79.55307234738453,-46.79865,5.33019,2693.1756
17,1,0.6006,0.3994,CV,26.4055,26.0387,-11.510883263748815,-11.431299133346089,19.66905,-15.57668,1071.0542
17,2,0.607,0.393,CV,28.4923,28.0574,-15.417385681868257,-15.433366105210467,-36.31467,12.78019,3702.7058
17,3,0.6505,0.3495,CV,18.5137,19.0625,-72.1957797468354,-72.28578418439746,-6.3676,-4.04829,2083.916
18,1,0.6105,0.3895,CV,19.4194,19.1546,-12.353543702903782,-12.354704530296718,10.29576,-11.0814,969.0685
18,2,0.5987,0.4013,CV,41.7335,41.3227,-12.670226829773384,-12.61279197032054,-8.21253,7.62858,2984.4018
18,3,0.6236,0.3764,CV,27.0897,27.1275,-58.73744150992299,-58.71995483809436,18.4089,-8.68539,1684.4557
19,1,0.6114,0.3886,CV,16.4144,16.0209,-22.472065691689348,-22.46253629077212,6.88724,-8.78915,883.3313
19,2,0.608,0.392,CV,19.0227,18.3184,-10.83675067831238,-10.83032874788629,2.72255,3.90324,2456.1836
19,3,0.62,0.38,CV,9.9023,9.099,-48.30869858257472,-48.31621832571556,15.95187,-6.69378,1404.5934
20,1,0.5733,0.4267,CV,64.7019,64.8785,-22.01825769702576,-21.849500827056737,-12.53008,-0.08485,837.9753
20,2,0.6328,0.3672,CV,35.9699,36.7431,-14.166264290492446,-14.25122143173747,-0.26976,-0.33478,2154.4487
20,3,0.615,0.385,CV,14.2645,13.74,-37.95187922632708,-37.943351006277126,13.62241,-5.59615,1218.6836
21,1,0.5738,0.4262,CV,35.5576,34.9419,-13.713928642255212,-13.602888029528064,-13.25104,0.97763,825.8161
21,2,0.6251,0.3749,CV,27.2225,27.1946,-14.1478861620071,-14.163277224389965,-2.10169,-2.32838,1876.5725
21,3,0.5965,0.4035,CV,22.6469,22.0077,-25.326918576564726,-25.24858566927655,16.46272,-5.10421,1071.1981
22,1,0.6183,0.3817,CV,52.0704,52.7296,-39.20185287411748,-39.275217845993964,0.04338,-0.71543,810.964
22,2,0.6187,0.3813,CV,30.4286,30.4124,-11.83743693684439,-11.836990573305181,2.75353,-3.80302,1707.4724
22,3,0.621,0.379,CV,8.7281,9.5131,-34.94194794456882,-34.99345537197513,7.35419,-2.31653,963.8481
23,2,0.6138,0.3862,CV,30.8813,30.6806,-14.819071221917326,-14.807437002045472,3.35437,-3.66783,1617.3112
23,3,0.617,0.383,CV,16.3596,16.1954,-22.283582677035096,-22.28218615621283,5.95032,-2.01737,892.0255
24,2,0.5861,0.4139,CV,93.1698,92.8979,-39.95485586634017,-39.83497075135048,9.6448,-4.58882,1607.498
24,3,0.6139,0.3861,CV,15.4006,15.1505,-16.135001535090375,-16.126153737532462,5.16118,-1.95364,835.8193
25,2,0.5926,0.4074,CV,53.9967,53.4718,-29.14195405912245,-29.08967501490214,7.91704,-4.3753,1652.6919
25,3,0.6157,0.3843,CV,12.3076,12.1936,-12.485497561092474,-12.489167283859334,3.2338,-1.75577,793.987
26,2,0.6112,0.3888,CV,33.4845,33.7049,-57.50674176907127,-57.522635505914465,5.19164,-2.33589,1572.8768
26,3,0.6085,0.3915,CV,31.6195,31.4372,-14.205672649398034,-14.176307736730903,3.83381,-2.38186,779.6504
27,2,0.6073,0.3927,CV,96.2363,96.1822,-68.610694757458,-68.5829627852069,2.98338,-2.24053,1725.9919
27,3,0.6062,0.3938,CV,42.8933,42.8206,-21.842600731856656,-21.814286001670084,3.48845,-3.42294,712.3047
28,2,0.5944,0.4056,CV,141.4374,141.3291,-172.29973285195098,-172.22390879100075,9.52721,-2.01611,1721.711
28,3,0.6148,0.3852,CV,29.818,29.9183,-11.98244176588325,-11.993269560024618,0.75518,-2.29486,712.7839
29,3,0.614,0.386,CV,21.4823,21.3861,-22.356399431151935,-22.351517942300852,-0.32716,-2.43278,707.2412
30,3,0.6095,0.3905,CV,41.3092,41.2174,-14.49424958938484,-14.471652366202115,-1.67658,-2.0209,732.8673
31,3,0.6085,0.3915,CV,35.8192,35.6733,-21.935174337942023,-21.914709195866198,-2.74751,-2.2061,736.1344
32,3,0.6018,0.3982,CV,51.7972,51.6041,-25.06122628642666,-25.014462571067252,-4.39628,-2.23141,753.9316
33,3,0.6138,0.3862,CV,45.4855,45.6468,-15.715204415851328,-15.728410931836738,-0.9494,-2.33365,715.6852
34,3,0.6064,0.3936,CV,58.5896,58.5626,-17.398341963172843,-17.362954186486213,-4.51744,-1.62029,744.6563
35,3,0.5922,0.4078,CV,70.0863,69.8533,-25.267994079595017,-25.184297876965424,-6.98232,-0.54823,801.3717
