frame,track_id,mu_CV,mu_CA,dominant,nu_CV_norm,nu_CA_norm,L_CV,L_CA,ax,ay,P_trace
2,1,0.6443,0.3557,CV,31.4496,31.4496,-14.78525808352107,-14.78222797484627,-5.72407,-3.3824,390.5416
2,2,0.6446,0.3554,CV,47.9562,47.9562,-13.621832259364933,-13.620104587703707,-9.43883,-6.56224,1043.9443
2,3,0.6444,0.3556,CV,25.5235,25.5235,-14.663725277921277,-14.661146196287174,6.1274,0.18022,270.0113
3,1,0.5304,0.4696,CV,68.1843,68.0256,-48.65690616686395,-48.265518381048615,-20.40505,-11.54172,659.9873
3,2,0.267,0.733,CA,124.4242,124.1437,-39.33143363003116,-37.80798954716805,-106.3769,-56.72941,1993.9395
3,3,0.5604,0.4396,CV,32.4353,32.2805,-18.149018696722006,-17.878682885549377,29.53829,0.19748,417.006
4,1,0.4005,0.5995,CA,67.3735,65.6571,-50.187268615058926,-49.438030333504635,-27.30496,-31.98301,1114.3995
4,2,0.2877,0.7123,CA,59.4867,57.2223,-16.679636224650146,-15.799270094809065,-159.0515,-73.19618,3269.5263
4,3,0.2325,0.7675,CA,48.4582,47.1601,-22.11971036622615,-20.535930889436433,71.47192,3.26845,724.805
5,1,0.3647,0.6353,CA,76.0109,74.5597,-41.24893425195053,-40.53264383917285,-30.58095,-66.475,1577.6819
5,2,0.3283,0.6717,CA,50.6173,44.9053,-13.624318684247907,-12.905437690656322,-198.83679,-107.73235,4013.548
5,3,0.221,0.779,CA,44.0212,41.1622,-17.392470379610955,-16.207183217099875,119.61149,1.58716,1042.6878
6,1,0.3963,0.6037,CA,54.4402,51.6918,-55.22778775236,-54.696096883951384,-25.82024,-81.46117,2076.7621
6,2,0.3697,0.6303,CA,45.9791,39.0527,-12.80043035072993,-12.20723010662771,-224.89888,-142.19625,4546.7673
6,3,0.3332,0.6668,CA,32.2742,29.2565,-14.740202396725511,-14.137299725537657,139.98674,-5.63735,1277.7535
7,1,0.4642,0.5358,CA,59.2878,57.8665,-36.80273918653637,-36.50425482194608,-12.13979,-89.45688,2371.5685
7,2,0.4819,0.5181,CA,40.153,36.5232,-16.4089557436188,-16.21866135490179,-193.09895,-136.3699,5096.6632
7,3,0.5567,0.4433,CV,23.4966,25.0058,-15.204516706105437,-15.365599478316621,92.3318,-15.36454,1427.6789
8,1,0.5143,0.4857,CV,62.5484,61.8368,-35.52643397068552,-35.33226095695615,9.54796,-71.35491,2601.5617
8,2,0.3302,0.6698,CA,77.6287,69.2311,-20.766453432630634,-19.78277207699412,-269.95254,-185.28595,6202.5091
8,3,0.5957,0.4043,CV,57.0239,58.8393,-22.293386269993846,-22.296857884313678,-6.5095,-14.11233,1311.6779
9,1,0.4793,0.5207,CA,85.8723,85.0935,-21.282879986279312,-20.877210518357735,22.18005,-62.47596,2550.3057
9,2,0.6078,0.3922,CV,38.5239,48.0076,-14.504909506590904,-14.88052320928004,-133.83961,-101.40425,6482.8139
9,3,0.4214,0.5786,CA,84.9509,85.507,-30.869673417920076,-30.11161225559985,66.2634,-17.94974,1428.9172
10,1,0.524,0.476,CV,64.5467,63.9963,-18.570406331284442,-18.393986453727155,31.59545,-43.09173,2575.9044
10,2,0.6282,0.3718,CV,98.6592,101.9744,-18.421232550395924,-18.486989138103752,26.14411,11.50437,5405.5768
10,3,0.2552,0.7448,CA,93.5735,91.483,-47.38105847240215,-46.1196830719899,105.99674,-38.96806,1484.9764
11,1,0.5122,0.4878,CV,56.5775,54.8587,-15.030300291246402,-14.742283351494635,38.24442,-40.08977,2439.9409
11,2,0.0207,0.9793,CA,210.8999,209.5204,-158.99001966436543,-154.6433015464795,270.21782,155.68238,5088.7892
11,3,0.5061,0.4939,CV,33.6424,34.2889,-21.056807020695906,-21.12384351288086,77.56906,-36.64262,1575.7276
12,1,0.5032,0.4968,CV,66.2225,64.7202,-16.032665241275083,-15.725737110665309,45.01385,-35.16798,2436.5715
12,3,0.5995,0.4005,CV,37.555,38.612,-14.807082040054887,-14.899485548667936,30.52438,-23.51894,1559.737
12,2,0.2539,0.7461,CA,97.109,95.4635,-571.2079929858969,-570.5054988343379,292.8381,145.65626,3661.1782
13,1,0.5141,0.4859,CV,46.4705,44.1652,-14.496797677920906,-14.246187974357612,48.61283,-36.29939,2405.9625
13,3,0.6073,0.3927,CV,42.3418,42.1619,-13.249956786851534,-13.239515163705457,16.32299,-14.33298,1573.1328
14,1,0.4992,0.5008,CA,63.1169,61.0189,-14.954443537166043,-14.628630781881627,56.08883,-38.36713,2487.7908
14,3,0.6106,0.3894,CV,31.7458,31.3759,-12.435787551960763,-12.427333446825386,7.79605,-10.42003,1567.3631
15,1,0.5122,0.4878,CV,48.6751,45.9338,-13.617904151319769,-13.365759505671004,59.66336,-39.28226,2596.0031
15,3,0.6051,0.3949,CV,69.7577,69.696,-22.582047663839546,-22.54599210769839,9.41523,-11.37108,1441.218
16,1,0.5301,0.4699,CV,47.0242,44.6209,-15.613461776543726,-15.414090813457085,60.48561,-36.65392,2669.3596
16,3,0.6082,0.3918,CV,30.0492,29.7752,-14.0527953443455,-14.037541065884614,9.86181,-8.57977,1464.0385
17,1,0.5494,0.4506,CV,54.3806,52.9755,-26.435949552033723,-26.288796054185976,56.3581,-29.83248,2647.4062
17,3,0.6059,0.3941,CV,26.8421,26.1963,-14.957722632334761,-14.92853971027693,9.81149,-7.45504,1469.0259
18,1,0.5963,0.4037,CV,60.5991,61.0215,-37.63899381099414,-37.655447499271645,28.19396,-10.01051,2449.9896
18,3,0.5969,0.4031,CV,51.679,51.1803,-15.96894268957558,-15.905337728460339,11.52662,-6.56304,1458.3323
19,1,0.5709,0.4291,CV,51.3259,50.4848,-65.49098490086466,-65.33471009034224,33.45064,-7.13808,2220.1297
19,3,0.6005,0.3995,CV,49.3529,49.0396,-26.75510538363555,-26.719818990201844,9.67972,-5.31083,1412.5389
20,1,0.5834,0.4166,CV,41.1328,40.6576,-65.65237252761682,-65.58439404383958,23.21184,1.80765,1975.7111
20,3,0.5945,0.4055,CV,56.6508,56.2674,-33.084655080954704,-33.01921440316329,9.98975,-3.90754,1363.6773
21,1,0.5685,0.4315,CV,54.8995,54.5659,-97.94723242075369,-97.79994573187346,10.0212,11.6229,1700.2614
21,3,0.5807,0.4193,CV,67.8344,67.4463,-54.564295775295065,-54.450922187912866,10.21114,-1.94922,1283.5288
22,1,0.5259,0.4741,CV,60.848,60.3695,-45.49524171571654,-45.19792517582518,-5.13278,21.85316,1502.1004
22,3,0.5712,0.4288,CV,48.7849,48.1684,-59.57866134333425,-59.44652334953336,10.82002,-2.05394,1219.6716
23,1,0.5189,0.4811,CV,68.6402,68.1179,-20.184447466479057,-19.92034461625324,-13.15954,24.01235,1448.3582
23,3,0.4992,0.5008,CA,83.6948,83.1816,-137.00978533148856,-136.60151184818585,11.18568,4.25373,1101.0461
24,1,0.484,0.516,CA,77.7076,76.8205,-51.84079066544968,-51.447598948873996,-5.92485,32.11865,1341.0264
24,3,0.5853,0.4147,CV,12.5263,12.8356,-22.89582134136249,-22.939136970523634,9.57442,2.47754,1061.3194
25,1,0.432,0.568,CA,66.6965,65.4565,-36.846900564799746,-36.29363200455727,-17.7309,42.34223,1274.0587
25,3,0.357,0.643,CA,94.9229,94.4457,-129.6975814786617,-128.68366106120732,8.41033,13.53985,900.5738
26,1,0.4578,0.5422,CA,64.381,63.488,-47.90898910807981,-47.534277517771486,-27.95711,41.65487,1329.3723
26,3,0.257,0.743,CA,49.9402,49.2807,-380.3490343545606,-379.1875900001528,32.17529,24.25242,797.3302
27,1,0.43,0.57,CA,68.0557,66.8346,-32.01493623540404,-31.49108065941196,-37.49156,49.09465,1254.4398
