frame,track_id,mu_CV,mu_CA,dominant,nu_CV_norm,nu_CA_norm,L_CV,L_CA,ax,ay,P_trace
2,1,0.6457,0.3543,CV,25.6103,25.6103,-11.792105958159125,-11.795201848995593,5.62493,2.35884,640.2928
2,2,0.6466,0.3534,CV,8.1127,8.1127,-10.541534406438341,-10.54839059658317,1.63305,0.0,639.8238
2,3,0.645,0.355,CV,64.2423,64.2423,-14.094385024029453,-14.094432798489711,-3.82774,6.46675,2292.5197
2,4,0.6465,0.3535,CV,5.4088,5.4088,-8.818007000774882,-8.82458293870095,0.71915,1.07872,187.1923
3,1,0.6412,0.3588,CV,7.5972,7.6281,-9.636749491496007,-9.702079863988875,-0.04515,2.57131,883.507
3,2,0.64,0.36,CV,8.65,8.6044,-10.066731363399233,-10.125812746077356,6.2021,-3.40517,885.2058
3,3,0.6316,0.3684,CV,40.4748,40.8008,-12.602091432533795,-12.627283271237964,-19.76215,-5.06573,3340.0036
3,4,0.6352,0.3648,CV,7.779,7.7483,-10.523473084150952,-10.561838870771215,4.70001,5.09528,259.7086
4,1,0.6022,0.3978,CV,27.1864,27.0285,-17.79482430915434,-17.70115464082108,-23.47311,6.2044,1057.5425
4,2,0.4504,0.5496,CA,57.3872,57.154,-24.588122854308182,-23.882595428564954,57.89832,2.76665,1232.6265
4,3,0.6319,0.3681,CV,25.2732,24.1771,-12.427794059144489,-12.47425010347026,-35.3641,0.14782,3988.8369
4,4,0.4749,0.5251,CA,25.3947,25.1809,-46.871109491627735,-46.271143454867584,22.28589,3.67983,340.1139
5,1,0.505,0.495,CV,31.0647,29.6837,-19.981425378381424,-19.550961044494137,-41.77054,11.56124,1177.9106
5,2,0.337,0.663,CA,43.183,40.1093,-20.673905158227107,-19.765546043675,93.60751,3.82248,1614.9176
5,3,0.634,0.366,CV,18.3191,16.7003,-13.008701907010956,-13.063626645961136,-33.50092,2.34589,4141.5157
5,4,0.276,0.724,CA,27.5764,26.7872,-49.7500693814425,-48.51932801984845,46.48786,-7.54118,449.5911
6,1,0.46,0.54,CA,26.4427,24.0663,-12.181643129179836,-11.711899933241087,-55.22476,13.09707,1224.8459
6,2,0.4199,0.5801,CA,25.0399,21.1296,-16.501513774010924,-16.106597497581618,109.64491,1.15553,1793.9291
6,3,0.6299,0.3701,CV,18.609,17.1833,-14.268534742325759,-14.30251817675199,-28.51822,-0.96765,3995.2081
6,4,0.2106,0.7894,CA,28.1178,26.1427,-44.52929881066623,-43.22135362365569,78.94261,-19.20197,500.5221
7,1,0.5195,0.4805,CV,18.1771,16.4508,-11.287908922608054,-11.120692684016536,-54.53636,11.35279,1193.4442
7,2,0.3333,0.6667,CA,42.6862,38.6294,-14.191786234520134,-13.310210086441746,152.20589,3.4724,1960.8081
7,3,0.638,0.362,CV,12.9897,14.0104,-12.57988193882641,-12.654993212224827,-13.02842,0.44808,3679.7111
7,4,0.3297,0.6703,CA,14.5143,12.1632,-42.41594086995521,-41.81161962667164,94.37357,-23.69718,498.1005
8,1,0.6501,0.3499,CV,27.6701,29.8626,-12.730716642949426,-13.01992703645817,-3.21834,-1.92536,1035.7639
8,2,0.5759,0.4241,CV,12.7873,16.0812,-11.246191000858726,-11.485594637643374,99.76297,-1.56663,1907.1161
8,3,0.6229,0.3771,CV,47.3435,47.4987,-15.168147421567259,-15.166540849097633,-1.49943,4.71131,3230.7571
8,4,0.5486,0.4514,CV,11.7702,12.3424,-29.315025992313107,-29.44827447085177,69.24145,-12.05188,487.0624
9,1,0.5787,0.4213,CV,33.5794,33.7019,-18.69817087570796,-18.49386533352675,24.3823,-5.91949,897.1784
9,2,0.6575,0.3425,CV,15.1428,18.2304,-13.090356480298881,-13.330401595496419,28.43727,-0.749,1694.1046
9,3,0.6241,0.3759,CV,11.4826,11.2952,-13.211619800698301,-13.2372525725461,1.70124,2.93247,2875.8096
9,4,0.5911,0.4089,CV,18.3143,18.4855,-17.918115279424676,-17.914555534608247,36.93242,-0.23857,464.3456
10,1,0.4423,0.5577,CA,40.9658,39.8163,-28.882325382510267,-28.23442371390788,40.78136,-8.57902,806.2314
10,2,0.62,0.38,CV,17.1174,16.2172,-22.239772327055107,-22.196627312428546,36.03113,-0.85149,1429.3961
10,3,0.6186,0.3814,CV,20.4921,20.0905,-13.668037977450716,-13.668656215598535,3.07584,3.10796,2512.1831
11,1,0.3358,0.6642,CA,40.0026,38.0672,-25.332220111073784,-24.430225073123403,62.10088,-11.61544,797.8107
11,2,0.6293,0.3707,CV,23.2813,23.4815,-20.17851125083376,-20.23094273688445,17.2342,-2.96599,1204.5488
11,3,0.6237,0.3763,CV,17.1531,17.5438,-13.197201955470907,-13.227746036194285,1.42168,0.56513,2258.985
12,1,0.3604,0.6396,CA,30.1228,27.6507,-24.229252624474498,-23.585403947845904,80.48906,-13.63393,830.124
12,2,0.6277,0.3723,CV,7.7599,7.5194,-18.021034983095213,-18.05292179499134,10.36976,-2.67896,1027.6493
12,3,0.6218,0.3782,CV,18.8456,18.9342,-12.149457188502339,-12.16441044057615,0.76397,-0.9216,2056.417
13,1,0.4761,0.5239,CA,16.8477,14.8967,-18.25175752081826,-18.051311882709495,77.90045,-10.95319,865.1083
13,2,0.6273,0.3727,CV,4.9181,4.867,-14.347873319609707,-14.380149972410218,6.88588,-1.48229,891.7289
13,3,0.6169,0.3831,CV,38.8071,38.771,-13.20351000128062,-13.200221555505427,0.06754,-1.81105,1952.1916
14,1,0.5576,0.4424,CV,18.7197,18.1048,-13.925380995323534,-13.888612203921696,59.90742,-5.74439,898.3666
14,2,0.6227,0.3773,CV,14.4443,14.3878,-11.46753885126817,-11.48085935587375,5.23733,-0.91813,803.0157
14,3,0.6173,0.3827,CV,10.1312,9.9645,-11.712629994801592,-11.718466100960269,0.24025,-1.16625,1846.1538
