track_id,n_frames,mean_mu_CV,mean_mu_CA,mu_flips,cv_dominant,needs_CT
1,12,0.384,0.616,2,False,False
2,4,0.659,0.341,0,True,False
3,9,0.625,0.375,0,True,False
4,52,0.559,0.441,6,False,False
5,229,0.61,0.39,14,True,False
6,2,0.674,0.326,0,True,False
8,66,0.611,0.389,0,True,False
9,2,0.674,0.326,0,True,False
10,4,0.661,0.339,0,True,False
13,1,0.7,0.3,0,True,False
15,4,0.655,0.345,0,True,False
16,95,0.581,0.419,8,False,False
17,15,0.583,0.417,7,False,True
20,28,0.47,0.53,12,False,True
22,91,0.581,0.419,4,False,False
25,222,0.603,0.397,10,True,False
27,4,0.661,0.339,0,True,False
29,2,0.6,0.4,1,True,True
31,8,0.613,0.387,2,True,False
33,4,0.661,0.339,0,True,False
36,4,0.623,0.377,1,True,False
37,23,0.581,0.419,4,False,False
40,12,0.53,0.47,2,False,False
41,12,0.514,0.486,2,False,False
