frame,track_id,mu_CV,mu_CA,dominant,nu_CV_norm,nu_CA_norm,L_CV,L_CA,ax,ay,P_trace
3,1,0.7,0.3,CV,2.7211,2.7211,-8.338426141260364,-8.338426141260364,0.0,0.0,142.9819
4,1,0.6483,0.3517,CV,1.2254,1.2254,-7.54520185065449,-7.559643603737834,-0.0,0.45495,191.695
18,5,0.7,0.3,CV,11.626,11.626,-21.00174615933588,-21.00174615933588,0.0,0.0,6.2074
19,5,0.5402,0.4598,CV,14.3818,14.3818,-47.99540144304784,-47.55931265211007,-7.60273,-0.71104,9.2865
20,5,0.0072,0.9928,CA,16.9398,16.7093,-65.0163884729039,-59.7255190333721,-28.68993,-3.01715,25.3603
21,5,0.0109,0.9891,CA,12.7719,12.1808,-45.707689319406136,-41.5911938307766,-54.12222,-5.76463,38.4036
21,7,0.7,0.3,CV,31.5763,31.5763,-25.876421998992818,-25.876421998992818,0.0,0.0,44.7704
22,5,0.0552,0.9448,CA,6.9355,5.8392,-22.692657310996257,-20.241682990731757,-67.22507,-5.71474,43.5611
22,7,0.5604,0.4396,CV,32.4179,32.4179,-37.69638277483692,-37.341998702668384,-18.74944,2.10431,67.846
22,8,0.7,0.3,CV,5.2846,5.2846,-8.926758190584495,-8.926758190584495,0.0,0.0,98.791
22,10,0.7,0.3,CV,5.1862,5.1862,-7.592683862185044,-7.592683862185044,0.0,0.0,39.4285
23,5,0.4993,0.5007,CA,0.7706,1.639,-16.895371554707243,-17.21798857892172,-60.9124,-5.11484,41.4589
23,7,0.0022,0.9978,CA,55.1229,54.5528,-91.8501797889834,-85.33004415576838,-83.15628,8.07941,187.2701
23,8,0.6478,0.3522,CV,4.421,4.421,-7.635613602526884,-7.647763782556484,-0.67534,-0.12648,130.1526
23,10,0.6478,0.3522,CV,2.1279,2.1279,-6.305032572554511,-6.3171536769761785,0.22793,0.31225,51.7737
24,5,0.6,0.4,CV,1.7832,1.4858,-6.645159061971766,-6.749444570909656,-38.36157,-2.86162,50.7603
24,7,0.0451,0.9549,CA,26.9961,25.446,-26.01454581024177,-23.365170990989142,-129.33831,8.44113,277.7602
24,8,0.6443,0.3557,CV,0.7706,0.7958,-8.557927322968094,-8.633879306983077,-0.75324,0.32892,186.9684
24,10,0.6391,0.3609,CV,3.1931,3.1755,-5.892599754205963,-5.945806705202868,-0.9282,2.14595,73.9192
24,11,0.7,0.3,CV,20.0908,20.0908,-13.158189347429657,-13.158189347429657,0.0,0.0,50.3947
24,12,0.7,0.3,CV,3.9429,3.9429,-6.807752947819335,-6.807752947819335,0.0,0.0,5.1128
25,5,0.6781,0.3219,CV,5.0011,6.0795,-9.616783468641449,-9.914474489104297,12.86253,1.41873,43.2843
25,7,0.2362,0.7638,CA,9.2019,6.5394,-9.127110584893906,-8.29335414458019,-142.80844,10.35562,307.8929
25,11,0.596,0.404,CV,26.7328,26.7328,-25.24497747505832,-25.03687660234398,15.24656,-2.70081,71.5983
25,10,0.6477,0.3523,CV,1.0718,1.0464,-5.800945188195826,-5.904647679290397,-1.39384,0.97426,87.8093
25,13,0.7,0.3,CV,25.9158,25.9158,-33.056102911195886,-33.056102911195886,0.0,0.0,35.7812
25,14,0.7,0.3,CV,2.3532,2.3532,-8.984787470356492,-8.984787470356492,0.0,0.0,37.6999
26,7,0.1411,0.8589,CA,15.2002,11.5317,-32.59663249407391,-30.859592295921168,-184.06661,19.69306,384.5861
26,11,0.3441,0.6559,CA,21.3078,20.8845,-24.857501240012056,-23.770786593024493,33.70422,-9.04595,147.9643
26,13,0.5211,0.4789,CV,49.8521,49.8521,-108.907553361158,-108.39488417367892,-18.50745,-2.42212,52.5436
26,14,0.6467,0.3533,CV,4.9174,4.9174,-6.2511363112987315,-6.2584537040163655,0.57192,-2.40686,51.6581
26,5,0.5833,0.4167,CV,3.6108,3.2866,-7.101156608777826,-6.873778637835504,14.75768,1.71232,36.2275
27,7,0.8917,0.1083,CV,28.9374,33.5261,-35.86982351057319,-38.1808530501934,32.54462,1.82807,288.7098
27,11,0.44,0.56,CA,18.138,18.2185,-18.958277440840973,-18.635507617560204,18.21525,-21.49597,233.2845
27,14,0.5574,0.4426,CV,14.8268,14.7727,-13.475734600998859,-13.189657999988796,9.98763,-8.16969,83.9664
28,7,0.5484,0.4516,CV,23.4636,23.3346,-35.05857745811276,-34.34728871584454,38.43896,-2.43104,217.8567
28,11,0.3956,0.6044,CA,18.5496,17.9716,-39.171099282742574,-38.53035951963082,38.06457,-22.41454,280.4293
28,14,0.4627,0.5373,CA,13.3032,12.9271,-17.66860399658255,-17.134306279711506,13.55695,-15.43828,119.6849
29,7,0.3376,0.6624,CA,17.5578,16.1631,-25.846918866002994,-24.80087781565954,53.93097,-3.72023,225.1167
29,14,0.1431,0.8569,CA,20.605,20.0182,-51.29474046656465,-49.25594090547799,31.85795,-16.78334,164.7606
30,7,0.3709,0.6291,CA,11.312,9.3188,-19.812396594464406,-19.211403824926307,65.74611,-4.63813,250.9799
30,8,0.5,0.5,CA,4.6937,4.6891,-9.800884214629388,-9.844013109440148,-0.07291,-0.10393,214.677
30,14,0.2859,0.7141,CA,9.7614,8.8513,-39.29234959586956,-38.57717079443508,45.81309,-19.88199,165.8823
31,7,0.52,0.48,CV,8.5896,8.1538,-11.010086299978742,-10.970805327982578,53.59827,-4.057,251.0689
31,14,0.231,0.769,CA,19.8548,19.3389,-36.539174403824155,-35.336048290208595,54.36961,-23.24755,185.4056
31,8,0.5729,0.4271,CV,16.5718,16.5975,-10.251536220103201,-10.242796698955596,1.06859,0.20856,201.7836
32,7,0.6484,0.3516,CV,12.9199,14.0899,-9.594070674989595,-9.87520890714783,5.66434,-1.08554,215.3593
32,14,0.1299,0.8701,CA,48.786,48.7565,-109.00813549466656,-107.1832763445373,50.60288,3.90323,238.9644
32,8,0.6038,0.3962,CV,2.1793,2.0955,-7.300198224894516,-7.314012746612235,0.66026,0.19556,190.8645
33,7,0.589,0.411,CV,11.4217,11.4861,-8.896804570307637,-8.73732953364728,-15.42443,-0.06599,170.8222
33,14,0.2014,0.7986,CA,61.2356,60.9308,-54.033675667330996,-52.8748088114749,26.26799,24.89558,321.4083
33,8,0.6147,0.3853,CV,13.4066,13.4748,-10.050285959036142,-10.064530163146253,0.23077,-0.39544,171.9049
34,7,0.4906,0.5094,CA,11.6804,11.0739,-9.117234688337456,-8.648476981537108,-23.73612,0.07365,146.1636
34,14,0.2542,0.7458,CA,73.4237,74.3881,-138.37200847388453,-137.4138392155612,-61.24877,34.53561,339.2945
34,22,0.7,0.3,CV,10.8264,10.8264,-8.50124699100426,-8.50124699100426,0.0,0.0,77.2045
35,7,0.3493,0.6507,CA,13.6293,12.6702,-11.84585113790158,-10.934857423536487,-35.85402,0.05902,138.6612
35,14,0.5272,0.4728,CV,18.5672,19.1992,-325.6799689197219,-325.83300513056656,-54.56581,16.32976,360.2897
35,22,0.6419,0.3581,CV,14.3664,14.3664,-11.31885952947756,-11.305418569516629,6.26182,0.93618,103.0159
36,14,0.1078,0.8922,CA,31.2858,29.7019,-186.67563647827447,-184.22129583949896,-99.18102,18.26202,410.8326
36,22,0.61,0.39,CV,10.5303,10.3576,-12.274302525777776,-12.212093530382138,12.32317,2.65579,154.2136
36,8,0.5,0.5,CA,7.671,7.6765,-12.55980777351131,-12.574506592581116,0.52623,0.21997,152.2002
37,14,0.129,0.871,CA,29.9076,27.3954,-128.9386196025533,-127.27887185054195,-161.43052,27.13966,425.7271
37,22,0.5284,0.4716,CV,15.1117,14.5923,-14.925762856098551,-14.577516194901094,21.22173,4.00789,209.6626
37,8,0.575,0.425,CV,14.5731,14.5973,-9.729407379828672,-9.729499499964769,-0.78513,0.30988,134.6751
37,24,0.7,0.3,CV,26.2019,26.2019,-14.778780306079694,-14.778780306079694,0.0,0.0,89.0212
38,14,0.3902,0.6098,CA,13.3681,12.7192,-69.94476224722537,-69.71841387580193,-152.84025,17.15785,419.5788
38,22,0.603,0.397,CV,1.9001,0.9472,-22.47886323427195,-22.553649335005286,15.25927,2.68799,239.1359
