track_id,n_frames,mean_mu_CV,mean_mu_CA,mu_flips,cv_dominant,needs_CT
1,18,0.55,0.45,2,False,False
2,48,0.578,0.422,2,False,False
3,9,0.337,0.663,3,False,True
4,1,0.64,0.36,0,True,False
5,11,0.479,0.521,2,False,False
6,27,0.484,0.516,11,False,True
7,24,0.454,0.546,10,False,True
8,61,0.513,0.487,10,False,False
9,28,0.485,0.515,6,False,False
11,8,0.32,0.68,1,False,False
12,45,0.489,0.511,16,False,True
14,56,0.555,0.445,8,False,False
16,7,0.257,0.743,1,False,False
17,63,0.556,0.444,12,False,False
21,47,0.515,0.485,6,False,False
22,3,0.641,0.359,0,True,False
25,19,0.488,0.512,3,False,False
27,4,0.573,0.427,1,False,False
30,2,0.666,0.334,0,True,False
34,14,0.589,0.411,0,False,False
35,52,0.568,0.432,6,False,False
37,30,0.55,0.45,4,False,False
40,14,0.488,0.512,5,False,True
43,17,0.4,0.6,6,False,True
44,26,0.421,0.579,7,False,False
46,23,0.442,0.558,9,False,True
47,6,0.52,0.48,3,False,True
49,13,0.498,0.502,2,False,False
50,20,0.412,0.588,4,False,False
53,11,0.431,0.569,3,False,False
54,12,0.405,0.595,2,False,False
55,12,0.418,0.582,3,False,False
56,10,0.333,0.667,3,False,False
58,9,0.348,0.652,2,False,False
59,9,0.33,0.67,4,False,True
60,1,0.7,0.3,0,True,False
61,3,0.487,0.513,1,False,True
63,6,0.258,0.742,1,False,False
64,6,0.29,0.71,1,False,False
65,4,0.449,0.551,1,False,False
66,4,0.393,0.607,1,False,False
68,3,0.385,0.615,1,False,True
