track_id,n_frames,mean_mu_CV,mean_mu_CA,mu_flips,cv_dominant,needs_CT
42,320,0.613,0.387,6,True,False
44,81,0.603,0.397,6,True,False
45,32,0.586,0.414,4,False,False
46,5,0.609,0.391,1,True,False
48,103,0.512,0.488,18,False,False
49,78,0.573,0.427,6,False,False
51,11,0.549,0.451,4,False,True
52,3,0.563,0.437,1,False,True
53,55,0.534,0.466,10,False,False
55,35,0.601,0.399,4,True,False
56,67,0.568,0.432,8,False,False
59,23,0.571,0.429,2,False,False
60,59,0.6,0.4,8,False,False
61,110,0.537,0.463,16,False,False
62,12,0.617,0.383,0,True,False
66,39,0.604,0.396,2,True,False
67,5,0.649,0.351,0,True,False
68,4,0.435,0.565,1,False,False
