frame,track_id,mu_CV,mu_CA,dominant,nu_CV_norm,nu_CA_norm,L_CV,L_CA,ax,ay,P_trace
2,1,0.6465,0.3535,CV,6.3686,6.3686,-10.137150449460908,-10.143849037119331,0.79738,0.0,399.9509
2,2,0.6464,0.3536,CV,0.7664,0.7664,-3.098869419976036,-3.105199488898447,0.16181,-0.0809,2.6254
2,3,0.6456,0.3544,CV,3.9004,3.9004,-8.557963479143758,-8.560674613518094,-0.31412,0.70676,13.994
2,4,0.6461,0.3539,CV,1.5117,1.5117,-3.5764367082642723,-3.5814046371450985,-0.31799,0.0,4.3053
3,1,0.6402,0.3598,CV,5.682,5.71,-8.830665335709536,-8.890475324096643,1.4394,0.4133,548.5192
3,2,0.6415,0.3585,CV,0.1741,0.171,-1.806188023528589,-1.871828030525347,0.17565,-0.08782,3.6458
3,3,0.617,0.383,CV,4.6929,4.6791,-7.935399051212753,-7.897155433055954,1.51365,2.15352,20.4067
3,4,0.6016,0.3984,CV,3.1947,3.186,-5.617972804185719,-5.514540992553698,-2.3846,-0.76374,6.3054
4,1,0.647,0.353,CV,6.0594,6.1126,-8.642891295399785,-8.74192688639016,-3.70103,-2.61008,649.5391
4,2,0.6496,0.3504,CV,0.0229,0.0156,-0.9463181297337324,-1.055029429215268,0.11183,-0.05591,4.3014
4,3,0.5275,0.4725,CV,7.5711,7.4939,-11.318508678629804,-10.956288856589143,5.59118,4.22466,27.276
4,4,0.5703,0.4297,CV,2.2998,2.207,-4.117958840885612,-3.951338731494519,-3.42985,-0.48349,8.2178
5,1,0.6484,0.3516,CV,2.7735,2.5671,-8.548837614867345,-8.64400254567857,-2.5113,-2.65271,670.249
5,2,0.644,0.356,CV,0.7419,0.7363,-1.3575346127909278,-1.4292961163864861,0.49143,-0.2457,4.462
5,3,0.4729,0.5271,CA,5.5481,5.2297,-7.870125661604019,-7.419921373251515,8.32039,4.18522,33.863
5,4,0.6163,0.3837,CV,0.6415,0.5682,-3.239255801546694,-3.30945363077468,-2.38976,-0.26104,9.2085
6,1,0.6426,0.3574,CV,6.5918,6.6259,-9.908554264496418,-9.976250288157512,1.11226,-3.00082,645.4958
6,2,0.5922,0.4078,CV,2.2475,2.2261,-5.019881844478897,-4.880260754466313,1.22869,0.12075,4.4216
6,3,0.372,0.628,CA,6.9987,6.604,-11.985368318194867,-11.198015566941148,12.10419,5.43878,38.357
