frame,track_id,mu_CV,mu_CA,dominant,nu_CV_norm,nu_CA_norm,L_CV,L_CA,ax,ay,P_trace
2,49,0.6459,0.3541,CV,5.4117,5.4117,-7.42094890864481,-7.425076443828786,1e-05,0.07717,41.5395
3,49,0.6349,0.3651,CV,2.901,2.875,-6.121105436570108,-6.159128226638088,-0.90537,-0.59295,58.1996
4,49,0.6341,0.3659,CV,2.9172,2.8176,-6.81161771484496,-6.862611442192706,-0.79847,-0.99329,72.1018
5,49,0.6316,0.3684,CV,2.8338,2.6735,-7.689311355687918,-7.7303723456362325,-0.49591,-1.03721,79.6335
6,49,0.6367,0.3633,CV,1.8171,1.9165,-7.841592622513142,-7.908674562167054,0.22639,-0.74569,80.5073
7,49,0.6343,0.3657,CV,2.5191,2.593,-7.078590324901415,-7.127756510038864,0.25205,-0.13289,77.5814
8,49,0.6292,0.3708,CV,1.7429,1.7563,-7.375582766815969,-7.406218927180392,-0.07462,0.12728,74.2288
9,49,0.6239,0.3761,CV,4.3644,4.3697,-6.376033073481847,-6.391662262830938,-0.08881,0.10531,68.6116
10,49,0.6228,0.3772,CV,1.1765,1.2006,-6.193133595789052,-6.2121378607606115,-0.05702,-0.04391,64.7768
10,51,0.7,0.3,CV,12.0038,12.0038,-8.738076566875424,-8.738076566875424,0.0,0.0,54.6428
10,52,0.7,0.3,CV,0.755,0.755,-5.834170470827713,-5.834170470827713,0.0,0.0,26.9047
11,49,0.6209,0.3791,CV,3.3814,3.3902,-8.475063692461816,-8.487341753967087,-0.14612,-0.13757,62.2595
11,51,0.6368,0.3632,CV,13.8737,13.8737,-14.343629577032141,-14.307788869763813,5.58246,-2.07901,71.0822
12,49,0.62,0.38,CV,2.009,2.0168,-6.784948690886654,-6.796502416004046,-0.10821,-0.04747,58.5691
12,51,0.5995,0.4005,CV,7.5818,7.3913,-8.29130167706579,-8.193073773280496,11.6425,-3.99219,106.9845
13,49,0.6191,0.3809,CV,2.1272,2.1232,-5.753424867461244,-5.7623033906949575,-0.05657,-0.02933,55.1623
13,51,0.5341,0.4659,CV,8.4093,7.8664,-7.744608423882293,-7.434547777034619,17.86209,-5.04788,138.4973
14,49,0.619,0.381,CV,1.8949,1.9018,-6.43161148048967,-6.441555885596711,0.07964,0.04281,53.1042
14,51,0.4941,0.5059,CA,7.8252,6.9389,-14.042908493265926,-13.668158575559643,22.584,-5.50902,157.7256
14,52,0.5,0.5,CA,2.1193,2.1193,-7.002104838157107,-7.125978135023519,-0.0,0.5237,82.3242
15,49,0.6188,0.3812,CV,1.1154,1.1096,-5.654730704578402,-5.663664269535559,0.09276,0.07837,51.0353
15,51,0.0243,0.9757,CA,34.3239,33.4335,-41.9596399266579,-37.972925781385214,61.16305,-3.74163,205.9984
15,52,0.5927,0.4073,CV,0.1079,0.0885,-5.6702951821205545,-5.743059741462567,0.0,0.3701,80.391
16,49,0.611,0.389,CV,10.5125,10.5074,-9.93379234880023,-9.910234120697202,0.07691,0.20841,45.6551
16,51,0.3271,0.6729,CA,8.536,7.4542,-16.637106963044204,-16.286149185641882,68.40854,-1.36749,194.7037
16,52,0.6214,0.3786,CV,2.9338,2.9707,-5.518305124644063,-5.5770650589280315,-0.0,0.03919,74.2191
17,49,0.6152,0.3848,CV,1.4,1.3579,-5.134494801825377,-5.1402978662655,0.05597,0.20121,42.8775
17,51,0.5935,0.4065,CV,2.786,4.5292,-16.92235845117107,-17.242795030895536,45.7565,0.54976,193.8951
17,52,0.6281,0.3719,CV,0.7352,0.6917,-5.076098916110077,-5.121195630380841,-0.0,0.06704,67.0882
18,49,0.6191,0.3809,CV,6.4619,6.4949,-7.203152077415894,-7.219060402570353,0.03669,0.09723,42.3627
18,51,0.202,0.798,CA,16.8173,15.3878,-23.31195073691057,-21.50053804042887,76.0106,0.39523,222.1488
18,52,0.628,0.372,CV,1.4864,1.5166,-5.193945965284216,-5.22899181341919,-0.0,0.16702,60.7755
19,49,0.61,0.39,CV,11.6439,11.6343,-11.176187323809721,-11.148171352202112,0.28512,-0.15543,43.7199
19,51,0.7378,0.2622,CV,15.2187,17.6976,-12.105321217629278,-13.256942864894306,0.53085,0.86762,192.2474
20,49,0.6145,0.3855,CV,1.889,1.8579,-5.8471502336040775,-5.851413175528279,0.18427,-0.18775,42.9142
20,51,0.5898,0.4102,CV,14.5255,14.7643,-10.661803616857334,-10.369487014617732,-23.51852,0.25802,147.5999
20,52,0.5,0.5,CA,3.2959,3.2969,-6.086504158107032,-6.107437996635019,0.0,-0.1368,51.5704
21,49,0.6157,0.3843,CV,2.5493,2.5254,-6.241645431441742,-6.244368806785726,0.17866,-0.06082,42.7247
21,51,0.4507,0.5493,CA,11.1485,10.3026,-12.983173290249901,-12.353096935886821,-29.74356,0.19786,132.8106
21,53,0.7,0.3,CV,4.0529,4.0529,-6.901841700276387,-6.901841700276387,0.0,0.0,12.3238
22,49,0.618,0.382,CV,2.7562,2.7774,-5.82183358442537,-5.832219670692209,0.11588,0.05269,41.8047
22,51,0.4728,0.5272,CA,6.1976,4.9983,-17.80089214459485,-17.459926216961634,-31.3489,0.1234,131.2059
22,53,0.6462,0.3538,CV,3.1492,3.1492,-5.894868677157202,-5.900248632249537,-0.81038,0.61836,16.7626
23,49,0.6183,0.3817,CV,0.9732,0.9746,-5.542529105528024,-5.55086990586457,0.05461,0.08762,41.5133
23,51,0.6148,0.3852,CV,2.2726,3.3927,-21.099107143931406,-21.303134420188037,-16.05928,0.03014,121.7659
23,53,0.6385,0.3615,CV,0.9566,0.923,-4.176017711064962,-4.228931493485205,-0.96516,0.7599,24.2828
24,49,0.6168,0.3832,CV,5.8076,5.8052,-6.702052413071274,-6.703820370665123,0.0954,0.0087,43.3497
24,51,0.6469,0.3531,CV,5.7027,6.2409,-15.876554862204038,-16.012910830849272,-0.29051,-0.15462,105.2217
24,53,0.6384,0.3616,CV,2.4281,2.4295,-4.9647943187942785,-5.028935627511647,-1.66889,0.14088,28.9979
25,49,0.6175,0.3825,CV,1.8173,1.8075,-5.910466330229526,-5.91709711619224,-0.01441,-0.02897,44.2972
25,51,0.6354,0.3646,CV,2.3229,2.3036,-13.81753815058008,-13.855948157376794,1.82732,-0.12491,89.8023
25,53,0.609,0.391,CV,4.3531,4.2787,-5.715683292093031,-5.6547799016574185,-3.54458,0.13389,31.6562
26,49,0.6183,0.3817,CV,3.2807,3.2949,-6.061628562955516,-6.070745969461662,-0.05209,0.07514,43.7126
26,51,0.6237,0.3763,CV,3.306,3.2242,-13.722437162567308,-13.727920245096858,2.81346,0.00268,78.5101
26,53,0.5681,0.4319,CV,4.9905,4.7966,-6.504215205880034,-6.317560288940967,-4.5754,0.17518,32.6297
27,49,0.6183,0.3817,CV,0.6989,0.6942,-5.762007372892187,-5.770222051517856,-0.06163,0.07756,44.1422
27,51,0.6212,0.3788,CV,1.9083,1.8053,-16.297103566602036,-16.309687562482377,2.23584,-0.05116,69.443
27,53,0.57,0.43,CV,3.494,3.2633,-5.409890226069505,-5.291119143660046,-4.39904,-0.00528,31.9987
28,49,0.6185,0.3815,CV,0.6194,0.6185,-5.784252105708287,-5.793083310024027,-0.06264,0.03455,44.6748
28,51,0.6198,0.3802,CV,2.3319,2.2747,-11.679284976148299,-11.68916331267577,1.6791,-0.11453,63.1943
28,53,0.6193,0.3807,CV,1.2759,1.4448,-4.510754689773164,-4.5941486630939075,-2.36025,-0.14557,30.5772
28,54,0.7,0.3,CV,1.0264,1.0264,-8.135935639546329,-8.135935639546329,0.0,0.0,127.9779
29,49,0.6179,0.3821,CV,4.1228,4.1218,-6.371237997099589,-6.377401923743231,0.03379,0.06245,43.9054
29,51,0.6162,0.3838,CV,3.2666,3.1999,-10.961958173580232,-10.958749543331994,1.52672,-0.20405,57.8634
29,53,0.6214,0.3786,CV,1.1667,1.0911,-11.336067550555228,-11.35582932543672,-1.66053,-0.10635,28.3775
29,54,0.6484,0.3516,CV,1.8641,1.8641,-7.371830816748938,-7.386637471206836,0.08477,0.18679,171.4483
30,49,0.6186,0.3814,CV,1.5309,1.5346,-6.259941672369449,-6.269627555452068,0.12553,0.02345,44.3507
30,51,0.617,0.383,CV,1.9444,1.8916,-9.63309753678902,-9.6387742380704,1.09795,-0.19467,53.9457
30,54,0.6446,0.3554,CV,1.1221,1.147,-7.2644530594732375,-7.340956723775286,0.09496,0.05169,246.7333
31,49,0.6185,0.3815,CV,3.3851,3.3899,-6.040830250882502,-6.049445113120463,-0.00521,-0.21028,44.988
31,51,0.618,0.382,CV,3.2882,3.2847,-7.051285625937596,-7.059903599542748,0.64447,-0.13985,51.7224
31,54,0.6497,0.3503,CV,3.6591,3.6815,-7.531721542343655,-7.635894393827315,-0.08946,-1.34585,288.1506
32,49,0.6183,0.3817,CV,2.7964,2.7955,-6.044911744900961,-6.052740750074661,-0.04755,-0.17261,46.1949
32,51,0.6172,0.3828,CV,2.5539,2.5247,-7.234577283271733,-7.238522109026949,0.54482,-0.19529,49.4039
32,54,0.6503,0.3497,CV,1.0817,1.0343,-7.313803887079068,-7.413047818630548,0.47855,-1.19139,297.3504
33,49,0.6185,0.3815,CV,3.4838,3.4922,-6.3402992986112245,-6.349245245624494,-0.06066,-0.08962,45.4719
33,51,0.6178,0.3822,CV,2.487,2.4815,-7.035706552040196,-7.043233615979005,0.33173,-0.25498,46.9961
33,54,0.6449,0.3551,CV,0.2661,0.3381,-7.339177429920569,-7.413759540753138,0.26772,-0.65783,286.6587
34,49,0.6186,0.3814,CV,0.9392,0.9297,-5.786038233495818,-5.794832616587599,-0.06195,-0.08799,45.3956
34,51,0.6168,0.3832,CV,3.4214,3.4033,-5.982251344951726,-5.984727810632095,0.31579,-0.31684,45.9236
34,54,0.6332,0.3668,CV,7.3367,7.3251,-8.24465092785175,-8.277019833648387,-0.0267,0.71356,262.0641
35,49,0.6186,0.3814,CV,2.8547,2.8594,-6.255123762683908,-6.263835337194314,-0.15194,-0.00828,46.4725
35,51,0.6161,0.3839,CV,3.5125,3.4882,-6.0166969548786575,-6.0175701198906335,0.32637,-0.35679,45.186
35,54,0.6316,0.3684,CV,4.2181,4.3478,-7.55915536510214,-7.6017572050727305,-0.05541,0.34221,242.9888
36,49,0.6188,0.3812,CV,1.0673,1.0751,-5.824272064512095,-5.833917821197832,-0.0509,0.01929,46.6301
36,51,0.6163,0.3837,CV,3.0345,3.014,-5.9171334654849375,-5.920071446442745,0.19314,-0.39157,44.6344
37,49,0.6176,0.3824,CV,5.3148,5.3143,-6.867176845778264,-6.871390617971148,-0.02601,-0.02105,45.0251
37,51,0.6166,0.3834,CV,2.6629,2.6413,-6.0746950357177,-6.078280136938409,0.11123,-0.3654,44.5546
38,49,0.6189,0.3811,CV,2.3639,2.3843,-5.779335169671525,-5.79111218848355,-0.02523,0.01126,45.7132
38,51,0.6169,0.3831,CV,2.4649,2.4468,-5.875796121536507,-5.880465202869427,0.0612,-0.37175,44.1416
39,49,0.6188,0.3812,CV,2.0369,2.0337,-6.8346334692255315,-6.843752760556233,-0.02934,0.04862,45.2921
39,51,0.6166,0.3834,CV,3.1762,3.1555,-5.9862815030036725,-5.988995729013234,0.07403,-0.42163,44.0547
39,55,0.7,0.3,CV,2.1611,2.1611,-5.864419493570957,-5.864419493570957,0.0,0.0,26.0556
40,49,0.6177,0.3823,CV,3.9903,3.9826,-6.375542675225213,-6.38050219157669,-0.24033,0.02375,44.1924
40,51,0.6162,0.3838,CV,3.5705,3.5478,-6.018820252530042,-6.020366549543943,0.05239,-0.48643,44.0281
40,55,0.6481,0.3519,CV,0.4695,0.4695,-5.026081378616605,-5.039828654290581,-0.06732,0.03366,35.013
41,49,0.6188,0.3812,CV,1.7463,1.7553,-5.594771566550454,-5.6057055985183935,-0.11247,-0.11206,44.0505
41,51,0.6161,0.3839,CV,3.3259,3.3012,-5.98815277002157,-5.9901268334093585,-0.01605,-0.5081,44.013
41,55,0.6361,0.3639,CV,3.9561,3.9619,-5.687320068332586,-5.727113656401688,0.53509,0.04006,49.4838
42,49,0.6189,0.3811,CV,1.5252,1.5248,-5.616363879663507,-5.626182400256793,-0.15726,-0.0734,44.0783
42,51,0.6162,0.3838,CV,3.0242,2.997,-6.300606395070716,-6.30309108226574,-0.03074,-0.50628,44.2692
42,54,0.5,0.5,CA,21.2627,21.2651,-10.88804913081938,-10.89225800804804,-0.01551,-0.1624,196.2903
42,55,0.6508,0.3492,CV,1.8287,1.9568,-5.334902116972361,-5.456636067272787,0.43066,-0.58255,59.0558
43,49,0.6186,0.3814,CV,2.4544,2.4532,-5.853785444130016,-5.862070220055959,-0.12032,-0.08081,44.5431
43,51,0.6155,0.3845,CV,6.1761,6.1662,-12.253598888172665,-12.252731913916778,-0.37599,-0.41944,45.1409
43,54,0.5763,0.4237,CV,1.2181,1.2236,-7.911225928043038,-7.9165787655747355,-0.03484,-0.15866,173.8737
43,55,0.6511,0.3489,CV,0.1527,0.1819,-5.017433734199088,-5.118692389711364,0.23634,-0.21765,61.0145
44,49,0.6186,0.3814,CV,2.4169,2.4191,-5.799023365380838,-5.807747748849858,-0.16895,-0.07168,43.7451
44,51,0.6128,0.3872,CV,7.7332,7.7098,-18.20394951343547,-18.19300696343976,-0.70063,-0.38289,45.0034
44,54,0.6035,0.3965,CV,0.7199,0.7343,-7.719979248344512,-7.727631622731256,-0.03791,-0.07031,170.6769
45,49,0.6187,0.3813,CV,1.0943,1.0956,-5.719028450693387,-5.728192448969622,-0.12405,0.01007,43.6732
45,51,0.6092,0.3908,CV,8.5015,8.4673,-22.02921662650153,-22.007132078888112,-0.95544,-0.27259,43.8919
45,54,0.6133,0.3867,CV,1.1057,1.1134,-7.709568072528806,-7.718370147121161,-0.035,-0.04785,170.1402
46,49,0.6188,0.3812,CV,0.5158,0.5175,-5.620496160257964,-5.629949188092358,-0.07217,-0.00913,43.4432
46,51,0.6068,0.3932,CV,7.2892,7.2358,-29.56028358815482,-29.533212315481993,-1.13589,-0.33334,43.8391
47,49,0.6188,0.3812,CV,0.7649,0.766,-5.680492160481731,-5.689788918786957,-0.03215,-0.04433,43.4441
47,51,0.6077,0.3923,CV,24.0232,24.0794,-22.070780292360954,-22.05124596933605,0.88868,-0.50557,46.9335
47,57,0.7,0.3,CV,8.0352,8.0352,-12.548127454840582,-12.548127454840582,0.0,0.0,12.1092
48,49,0.6184,0.3816,CV,2.8429,2.8438,-6.274078191561217,-6.281820972727462,0.08325,0.04087,44.0892
48,51,0.6038,0.3962,CV,10.2154,10.151,-8.4752399955177,-8.437966465254569,1.09377,-0.59738,48.9039
48,57,0.6113,0.3887,CV,11.9713,11.9713,-25.456387655068703,-25.311974741966893,5.97116,-2.11829,16.9421
49,49,0.6186,0.3814,CV,1.1136,1.1206,-5.821159885055547,-5.830432355793894,0.0043,0.06008,43.9535
49,51,0.6103,0.3897,CV,3.7782,3.7141,-6.369315544337716,-6.3647516755703375,0.78008,-0.55511,49.9521
