track_id,n_frames,mean_mu_CV,mean_mu_CA,mu_flips,cv_dominant,needs_CT
137,29,0.617,0.383,0,True,False
138,14,0.452,0.548,7,False,True
139,3,0.548,0.452,1,False,True
141,19,0.516,0.484,4,False,False
142,2,0.56,0.44,1,False,True
140,8,0.404,0.596,2,False,False
146,49,0.584,0.416,2,False,False
147,8,0.633,0.367,0,True,False
149,9,0.504,0.496,2,False,False
151,30,0.503,0.497,7,False,False
152,114,0.604,0.396,4,True,False
153,6,0.523,0.477,1,False,False
154,91,0.536,0.464,14,False,False
156,5,0.63,0.37,2,True,True
158,21,0.509,0.491,6,False,False
159,55,0.579,0.421,6,False,False
161,1,0.7,0.3,0,True,False
165,18,0.527,0.473,2,False,False
166,5,0.576,0.424,2,False,True
