frame,track_id,mu_CV,mu_CA,dominant,nu_CV_norm,nu_CA_norm,L_CV,L_CA,ax,ay,P_trace
2,114,0.6461,0.3539,CV,13.3659,13.3659,-10.130685124241795,-10.135584504832394,1.4423,-2.86207,311.3227
2,115,0.6459,0.3541,CV,12.2207,12.2207,-14.329422340289897,-14.333166658555971,2.55796,-1.14195,170.8257
2,116,0.6445,0.3555,CV,18.9331,18.9331,-10.536384282589374,-10.534216705350962,3.67713,-2.01367,155.0087
2,117,0.6453,0.3547,CV,16.7417,16.7417,-10.635197061155337,-10.63646722356897,3.32634,-1.31303,193.5432
2,118,0.6425,0.3575,CV,33.2938,33.2938,-20.7202294007079,-20.709248912195093,7.35326,-3.10216,249.3986
2,119,0.6461,0.3539,CV,11.9203,11.9203,-12.332422573242743,-12.337231488262722,2.60692,-1.16862,239.7758
2,120,0.6435,0.3565,CV,28.8632,28.8632,-12.744888980042433,-12.738401698825008,6.13234,-2.6016,248.3854
2,121,0.6465,0.3535,CV,5.4219,5.4219,-9.002557621369144,-9.009307418738073,0.18319,-0.27479,202.4794
2,122,0.6455,0.3545,CV,10.6295,10.6295,-16.737367588153774,-16.739667654971424,1.72227,0.12917,95.9117
2,123,0.6439,0.3561,CV,20.2677,20.2677,-11.232462454906107,-11.227832429722111,4.87033,-0.09019,140.8911
2,124,0.6424,0.3576,CV,23.0719,23.0719,-12.180157260534127,-12.16899675614853,5.41869,0.98522,117.6056
2,125,0.6408,0.3592,CV,40.8132,40.8132,-14.922771366074986,-14.904513097380025,9.82408,-0.81867,267.6066
2,126,0.6428,0.3572,CV,58.4772,58.4772,-29.27233571905113,-29.262913978776282,13.94068,-1.53623,840.1188
2,127,0.6411,0.3589,CV,19.5289,19.5289,-12.078218393910376,-12.061018942991565,-4.65116,-0.17889,63.4241
2,128,0.6445,0.3555,CV,21.3944,21.3944,-23.56314489852752,-23.560799806687385,3.87888,-3.04769,194.0174
2,129,0.6431,0.3569,CV,25.5884,25.5884,-11.897516968920039,-11.889373520506581,-5.69609,2.14441,172.9153
2,130,0.6442,0.3558,CV,11.2751,11.2751,-8.769493111149288,-8.765935608213455,2.04003,0.17,47.4825
2,131,0.6464,0.3536,CV,6.7502,6.7502,-8.449550601133033,-8.455608622063927,0.7353,-0.7353,142.8089
2,132,0.6458,0.3542,CV,10.1618,10.1618,-15.774080950787434,-15.777550889114455,-1.33513,0.25841,117.455
2,133,0.645,0.355,CV,9.6052,9.6052,-8.466941408761521,-8.46678554037299,-2.20408,-0.36735,50.5153
2,134,0.6455,0.3545,CV,10.7306,10.7306,-12.290923786793265,-12.293081670745432,1.46729,-1.97167,91.06
2,135,0.6465,0.3535,CV,3.3187,3.3187,-14.53051943562048,-14.537177550228938,0.31752,-0.63505,71.7707
2,136,0.6458,0.3542,CV,12.8077,12.8077,-12.505944630627187,-12.509473575774436,2.84322,-0.27515,176.1913
2,138,0.646,0.354,CV,11.6688,11.6688,-9.13741914326994,-9.141754880040914,-0.69654,1.78488,203.2858
