track_id,n_frames,mean_mu_CV,mean_mu_CA,mu_flips,cv_dominant,needs_CT
114,103,0.515,0.485,18,False,False
115,79,0.572,0.428,8,False,False
116,63,0.556,0.444,7,False,False
117,38,0.544,0.456,4,False,False
118,86,0.522,0.478,20,False,False
119,101,0.541,0.459,19,False,False
120,71,0.507,0.493,16,False,False
121,11,0.429,0.571,4,False,True
122,8,0.356,0.644,3,False,True
123,29,0.536,0.464,3,False,False
124,81,0.526,0.474,18,False,False
125,10,0.476,0.524,4,False,True
126,20,0.502,0.498,11,False,True
127,81,0.532,0.468,16,False,False
128,71,0.506,0.494,13,False,False
129,137,0.511,0.489,29,False,False
130,22,0.396,0.604,6,False,False
131,10,0.576,0.424,4,False,True
132,48,0.483,0.517,15,False,True
133,57,0.553,0.447,8,False,False
134,37,0.531,0.469,10,False,False
135,32,0.505,0.495,11,False,True
136,136,0.527,0.473,26,False,False
138,100,0.575,0.425,9,False,False
140,140,0.556,0.444,24,False,False
141,24,0.453,0.547,6,False,False
142,57,0.541,0.459,15,False,False
143,37,0.525,0.475,8,False,False
144,62,0.534,0.466,12,False,False
145,90,0.577,0.423,14,False,False
146,37,0.531,0.469,3,False,False
147,86,0.604,0.396,4,True,False
137,4,0.576,0.424,1,False,False
148,26,0.48,0.52,8,False,True
149,118,0.53,0.47,32,False,False
152,73,0.514,0.486,13,False,False
153,140,0.525,0.475,30,False,False
154,11,0.556,0.444,2,False,False
158,5,0.623,0.377,0,True,False
159,136,0.557,0.443,16,False,False
160,72,0.614,0.386,0,True,False
163,22,0.542,0.458,3,False,False
165,115,0.498,0.502,26,False,False
168,10,0.598,0.402,2,False,False
169,40,0.492,0.508,11,False,False
171,72,0.517,0.483,17,False,False
172,43,0.503,0.497,12,False,False
176,38,0.579,0.421,9,False,False
179,94,0.542,0.458,25,False,False
183,49,0.584,0.416,4,False,False
184,37,0.575,0.425,6,False,False
185,58,0.539,0.461,8,False,False
186,39,0.529,0.471,7,False,False
187,2,0.65,0.35,0,True,False
189,32,0.554,0.446,6,False,False
192,15,0.52,0.48,8,False,True
193,29,0.525,0.475,6,False,False
194,89,0.525,0.475,22,False,False
195,107,0.6,0.4,6,False,False
202,12,0.588,0.412,0,False,False
206,69,0.557,0.443,18,False,False
207,8,0.468,0.532,2,False,False
209,2,0.659,0.341,0,True,False
210,26,0.441,0.559,9,False,True
211,67,0.544,0.456,13,False,False
212,14,0.447,0.553,5,False,True
213,87,0.56,0.44,10,False,False
214,90,0.526,0.474,17,False,False
215,56,0.552,0.448,12,False,False
217,18,0.539,0.461,4,False,False
218,89,0.513,0.487,16,False,False
220,63,0.517,0.483,18,False,False
221,71,0.542,0.458,12,False,False
222,83,0.516,0.484,14,False,False
223,4,0.654,0.346,0,True,False
225,86,0.552,0.448,6,False,False
226,71,0.503,0.497,24,False,True
230,41,0.592,0.408,4,False,False
231,7,0.559,0.441,4,False,True
232,21,0.583,0.417,5,False,False
238,60,0.53,0.47,10,False,False
239,11,0.511,0.489,3,False,False
240,63,0.545,0.455,8,False,False
241,34,0.538,0.462,6,False,False
242,3,0.646,0.354,0,True,False
243,21,0.57,0.43,2,False,False
244,9,0.596,0.404,2,False,False
248,40,0.509,0.491,12,False,False
249,63,0.607,0.393,1,True,False
251,57,0.586,0.414,8,False,False
259,12,0.419,0.581,1,False,False
260,22,0.531,0.469,5,False,False
261,4,0.449,0.551,1,False,False
262,40,0.492,0.508,12,False,False
263,3,0.655,0.345,0,True,False
264,63,0.505,0.495,12,False,False
265,52,0.493,0.507,9,False,False
268,3,0.613,0.387,1,True,True
269,5,0.6,0.4,1,False,False
270,32,0.58,0.42,2,False,False
271,8,0.336,0.664,1,False,False
272,18,0.455,0.545,5,False,False
273,55,0.439,0.561,14,False,False
276,52,0.505,0.495,8,False,False
277,11,0.47,0.53,7,False,True
278,40,0.509,0.491,8,False,False
281,35,0.487,0.513,5,False,False
282,12,0.46,0.54,3,False,False
285,53,0.534,0.466,15,False,False
287,52,0.558,0.442,12,False,False
288,46,0.567,0.433,8,False,False
289,9,0.532,0.468,4,False,True
293,40,0.518,0.482,12,False,False
294,14,0.556,0.444,6,False,True
296,34,0.526,0.474,8,False,False
298,13,0.441,0.559,3,False,False
299,10,0.513,0.487,3,False,False
303,7,0.566,0.434,5,False,True
304,28,0.568,0.432,6,False,False
305,38,0.495,0.505,13,False,True
308,14,0.521,0.479,5,False,True
309,36,0.588,0.412,2,False,False
312,21,0.576,0.424,2,False,False
313,18,0.571,0.429,7,False,True
315,16,0.586,0.414,6,False,True
317,4,0.557,0.443,1,False,False
318,1,0.7,0.3,0,True,False
320,19,0.542,0.458,6,False,True
321,26,0.53,0.47,4,False,False
325,16,0.461,0.539,4,False,False
326,7,0.478,0.522,2,False,False
327,17,0.552,0.448,4,False,False
332,21,0.45,0.55,8,False,True
334,19,0.554,0.446,4,False,False
336,19,0.589,0.411,2,False,False
339,11,0.427,0.573,3,False,False
345,1,0.7,0.3,0,True,False
346,8,0.488,0.512,3,False,True
347,8,0.478,0.522,1,False,False
349,6,0.543,0.457,2,False,True
350,6,0.333,0.667,1,False,False
351,3,0.545,0.455,1,False,True
353,4,0.652,0.348,0,True,False
355,2,0.672,0.328,0,True,False
357,1,0.7,0.3,0,True,False
