frame,track_id,mu_CV,mu_CA,dominant,nu_CV_norm,nu_CA_norm,L_CV,L_CA,ax,ay,P_trace
2,48,0.6431,0.3569,CV,43.2801,43.2801,-15.057308549272815,-15.049007970925878,-9.97737,-2.31617,489.2068
2,49,0.6442,0.3558,CV,35.3,35.3,-12.565588199755615,-12.562067361052675,7.99735,0.17577,470.0628
2,50,0.6454,0.3546,CV,27.8732,27.8732,-16.300051352310714,-16.301784532027707,-6.451,-1.61275,576.1817
2,51,0.6448,0.3552,CV,20.7586,20.7586,-10.788547773046671,-10.787715056906222,-4.50569,-0.5574,215.9373
3,48,0.58,0.42,CV,37.849,37.5851,-13.601285249038481,-13.412862738571318,-33.22274,-7.81655,740.1432
3,49,0.5625,0.4375,CV,44.4462,44.2395,-16.815211543616957,-16.55352036111428,37.45112,8.64111,710.6274
3,50,0.6059,0.3941,CV,31.9834,31.8181,-24.68213978259363,-24.59747794086156,-27.33408,-4.28932,846.2307
3,51,0.3779,0.6221,CA,46.3034,46.1893,-27.61800040683604,-26.605739145320886,-48.2411,-6.95743,397.1521
3,52,0.7,0.3,CV,9.2544,9.2544,-8.244114204301654,-8.244114204301654,0.0,0.0,67.9045
4,48,0.4643,0.5357,CA,39.5022,38.0176,-13.804845461356328,-13.243861945977034,-56.73366,-17.30328,1079.9775
4,49,0.4897,0.5103,CA,32.6132,31.0497,-18.41316146328223,-17.97974887086935,54.72647,6.94349,1033.992
4,50,0.5089,0.4911,CV,40.011,38.7907,-31.391698583532552,-30.97128901064168,-50.89314,-7.73379,1178.1767
4,51,0.2172,0.7828,CA,32.6745,30.6332,-28.24093834757406,-26.82976085879554,-87.40732,-17.76915,697.3519
4,52,0.6043,0.3957,CV,29.8111,29.8111,-37.80279256811037,-37.62899105498995,-14.95769,-2.3644,90.4854
5,48,0.4206,0.5794,CA,32.6919,29.8736,-12.121516298697472,-11.549886578426486,-76.08773,-26.92144,1393.4876
5,49,0.5712,0.4288,CV,8.7903,6.2237,-15.331195662713853,-15.330249785870265,46.31499,4.7334,1217.3433
5,50,0.2814,0.7186,CA,61.439,58.7944,-29.653794430978564,-28.40106031021433,-96.99666,-13.66674,1649.5209
5,51,0.0427,0.9573,CA,64.6384,61.4639,-36.04917683364615,-33.03607252666256,-207.21998,-31.75629,993.7621
5,52,0.0,1.0,CA,78.2746,77.8439,-166.08786057357125,-153.3211675075951,-121.43088,-10.4358,234.1172
6,48,0.4676,0.5324,CA,21.5531,18.0174,-10.384548844068906,-10.065282604657591,-83.68748,-31.37945,1552.1877
6,49,0.635,0.365,CV,5.2682,7.048,-14.810913994805787,-14.95973439807539,23.13231,0.52507,1211.7453
6,50,0.2181,0.7819,CA,63.3524,59.4846,-42.26884515246263,-40.99837914280164,-162.47278,-27.87027,2014.9271
6,51,0.2364,0.7636,CA,22.7957,18.1642,-35.72955171150154,-34.90069323802909,-240.10459,-41.2801,1069.5904
6,52,0.0,1.0,CA,70.7765,68.414,-178.82052837097655,-166.24345477097194,-246.36203,-29.36355,361.463
7,48,0.5671,0.4329,CV,11.437,10.0646,-9.69163233121378,-9.70558717513179,-62.9393,-28.78909,1547.3691
7,49,0.641,0.359,CV,13.7467,14.2002,-15.792555989391573,-15.873241156836745,7.79255,-4.44632,1115.9539
7,50,0.335,0.665,CA,33.1057,28.9652,-42.3269351518699,-41.735963779204965,-190.48074,-37.29271,2099.5522
7,51,0.2329,0.7671,CA,30.8291,24.9722,-21.90556025901502,-20.782708239472257,-282.02114,-54.60032,1486.4579
7,52,0.3828,0.6172,CA,11.7551,11.6321,-30.332536297381992,-30.26017449476916,-240.38265,-47.7352,347.4418
8,48,0.6252,0.3748,CV,4.5669,5.88,-10.49905703077672,-10.611600160675371,-34.67944,-17.48721,1430.8419
8,49,0.6291,0.3709,CV,12.8658,12.6129,-16.70452769462753,-16.724743438106827,4.22652,-5.53859,1007.5088
8,50,0.5497,0.4503,CV,10.3207,11.3541,-43.995950934841325,-44.126307320112524,-142.5556,-24.06001,1974.8037
8,51,0.5016,0.4984,CV,15.082,15.3838,-43.5983404426668,-43.67881457980626,-228.41173,-49.30851,1633.5306
8,52,0.7872,0.2128,CV,23.1459,28.0701,-36.900299565619164,-38.072078735006826,9.10623,-21.93284,453.2632
9,48,0.6332,0.3668,CV,4.0353,3.6744,-10.619735942889093,-10.681076256445031,-20.88182,-10.42952,1269.5301
9,49,0.6294,0.3706,CV,4.9876,5.2074,-16.138985802779292,-16.178356642866312,1.16699,-3.02708,906.2775
9,50,0.6471,0.3529,CV,6.8835,9.8847,-41.48738148996294,-41.72005234761317,-69.32593,-8.54751,1690.7333
9,51,0.5242,0.4758,CV,24.6917,22.2495,-63.16800167343003,-62.960329166982234,-185.94612,-35.08322,1643.6038
9,52,0.6829,0.3171,CV,7.3438,7.3755,-19.049060994610134,-19.082875650792943,26.3214,-5.19071,302.7639
10,48,0.5969,0.4031,CV,26.988,26.3679,-11.417879180268113,-11.314154851017726,-24.37766,-11.08849,1102.1408
10,49,0.6268,0.3732,CV,12.135,12.2798,-16.977662652475388,-17.005233124756728,-0.98639,-0.62831,823.964
10,50,0.6581,0.3419,CV,16.1524,16.7436,-57.40227606956828,-57.53996990224347,-27.26374,-7.57637,1334.0224
10,51,0.4232,0.5768,CA,37.5083,34.456,-37.721666394190514,-37.07476145299118,-198.68865,-28.79867,1696.7508
10,52,0.6269,0.3731,CV,14.7395,14.8647,-20.192683230365986,-20.14046315354326,18.33412,7.15272,238.1325
11,48,0.5084,0.4916,CV,42.771,41.8614,-15.865608333026323,-15.456467523043433,-34.93216,-12.49474,970.2168
11,49,0.6205,0.3795,CV,22.6614,22.6788,-20.252137453356124,-20.256975988197702,-1.04021,1.79424,760.6378
11,50,0.6475,0.3525,CV,5.5234,5.2679,-46.368771754264415,-46.44319255932166,-18.26152,-4.07061,1068.6038
11,51,0.5145,0.4855,CV,47.0962,46.9795,-29.50586885559422,-29.370750439094785,-137.21824,-7.92873,1648.6825
11,53,0.7,0.3,CV,7.6496,7.6496,-8.138565697412778,-8.138565697412778,0.0,0.0,31.769
12,48,0.598,0.402,CV,7.3272,8.1754,-9.495293362906638,-9.577906698803172,-20.4661,-6.61845,862.4588
12,49,0.6136,0.3864,CV,27.1239,27.0599,-17.975691665296843,-17.960778818228434,0.66992,3.03157,698.3178
12,50,0.6245,0.3755,CV,12.6134,12.1404,-16.42331563427091,-16.41426209240959,-19.07557,-2.79454,880.6913
12,51,0.5853,0.4147,CV,33.4179,33.8868,-36.47953544853843,-36.501085600867654,-68.24093,4.94804,1433.1405
12,53,0.6476,0.3524,CV,3.3377,3.3377,-8.281236448281277,-8.2926149250968,1.6171,0.76333,43.093
13,48,0.6331,0.3669,CV,16.3703,17.2171,-11.607746116081623,-11.70909010461294,-2.89654,-1.21272,750.8032
13,49,0.6163,0.3837,CV,7.3555,7.2575,-13.121942691685415,-13.12818282529094,0.62702,2.16169,660.5959
13,50,0.6278,0.3722,CV,25.0419,25.8398,-25.752102510827672,-25.791430580268724,6.93323,1.5411,748.6758
13,51,0.5609,0.4391,CV,40.4019,42.4879,-15.754493684306617,-15.57366676949,57.74359,12.07959,1243.1353
13,53,0.6006,0.3994,CV,9.8026,9.7937,-10.249960488207087,-10.140067322396563,5.84131,-5.31066,66.7946
14,48,0.6272,0.3728,CV,12.2632,12.3656,-10.325137089646326,-10.349102089157634,2.15597,0.61563,659.8946
14,49,0.6162,0.3838,CV,17.0452,17.0125,-16.43879939320049,-16.440787200640877,0.86717,1.40095,646.1587
14,50,0.6156,0.3844,CV,24.1522,24.0253,-11.053051396789854,-11.035516528294114,6.83407,1.34139,679.0373
14,51,0.3248,0.6752,CA,46.1734,43.7631,-17.869908477549316,-16.748107135214166,116.38507,15.5085,1215.1701
14,53,0.5543,0.4457,CV,8.2593,7.8868,-8.570082865504649,-8.339739329053874,9.8278,-6.39096,89.8522
15,48,0.6223,0.3777,CV,7.7786,7.6732,-11.630662486556202,-11.642306710498994,2.81524,1.37305,583.5332
15,49,0.6094,0.3906,CV,38.7173,38.6375,-33.2317550368776,-33.20521406381613,2.72834,1.34146,639.3916
15,50,0.598,0.402,CV,27.6758,27.3501,-21.310316791414834,-21.23711298973832,8.92281,1.53677,638.6137
15,51,0.5219,0.4781,CV,51.3538,52.0639,-97.34220393554853,-97.37493455338742,65.93329,12.47546,1070.9857
15,53,0.5587,0.4413,CV,6.1605,5.6171,-6.866721618631586,-6.721960900305043,11.05458,-4.77806,106.2446
16,48,0.6202,0.3798,CV,8.628,8.5594,-13.917004950288224,-13.927308133849651,2.02327,1.6401,521.5031
16,49,0.6116,0.3884,CV,17.9464,17.811,-22.20928860035787,-22.202374019910344,2.27248,1.63548,623.3844
16,50,0.6171,0.3829,CV,19.0885,19.3431,-10.19853058553472,-10.231555315208793,3.12446,1.41218,595.1458
16,53,0.5666,0.4334,CV,8.6804,8.4695,-7.889723498323569,-7.7709806834337245,11.04583,-1.14577,111.2472
17,48,0.6154,0.3846,CV,12.6593,12.5426,-10.839852613398573,-10.832682037386519,2.35734,2.13076,470.0842
17,49,0.6135,0.3865,CV,17.493,17.4124,-16.86751877987532,-16.86507719982032,1.50663,1.97048,607.6416
17,50,0.6103,0.3897,CV,30.1031,29.9728,-14.244653866616826,-14.220552204461463,2.82395,1.3846,594.8826
17,53,0.6035,0.3965,CV,3.8297,3.6626,-6.648489135652109,-6.670201014505543,7.61142,0.48182,110.024
18,48,0.6151,0.3849,CV,20.1552,20.1665,-15.049880818287981,-15.048782283515399,-0.12715,2.17612,431.4237
18,49,0.6147,0.3853,CV,15.6476,15.5736,-17.574396098195944,-17.57413321958352,0.68816,2.04892,610.9222
18,50,0.6103,0.3897,CV,21.7857,21.6139,-12.527243134367188,-12.513179635473781,2.38125,1.74379,593.2891
18,53,0.6163,0.3837,CV,5.416,5.3841,-7.822680755401323,-7.8442482489497465,4.18886,1.65114,104.713
19,48,0.612,0.388,CV,16.0583,15.9561,-14.224009391482227,-14.210141030820395,-0.72839,2.33046,399.3895
19,49,0.6153,0.3847,CV,15.1227,15.051,-14.166260468713435,-14.16708216037961,0.35616,2.01184,600.6494
19,50,0.6106,0.3894,CV,22.0881,21.9246,-16.060048655325637,-16.04756983218423,1.74153,1.7392,603.7835
19,53,0.6167,0.3833,CV,3.3729,3.1951,-8.399310853771112,-8.403421680700125,2.92956,1.45783,98.3689
20,48,0.6113,0.3887,CV,13.0058,12.882,-15.567941248496322,-15.555898141949523,-0.57118,2.41071,369.9617
20,49,0.6177,0.3823,CV,15.0815,15.1453,-17.83241523247947,-17.84246125979015,-0.65596,0.78006,604.1608
