frame,track_id,mu_CV,mu_CA,dominant,nu_CV_norm,nu_CA_norm,L_CV,L_CA,ax,ay,P_trace
2,160,0.6413,0.3587,CV,8.2841,8.2841,-9.200132780749087,-9.183958364084749,1.99991,0.0,11.9961
2,161,0.6465,0.3535,CV,1.5519,1.5519,-6.060181596780583,-6.066843700172002,0.17818,0.26728,19.9391
3,160,0.4948,0.5052,CA,8.3358,8.284,-13.796495095545946,-13.267320229064758,8.61194,-0.3332,19.7401
3,161,0.5992,0.4008,CV,6.5518,6.5594,-7.99614704238784,-7.88217690428551,-0.48751,-2.46738,27.5734
4,160,0.1562,0.8438,CA,9.7876,9.4065,-16.693941170319185,-14.712428277798573,19.76047,-0.87247,36.1983
4,161,0.6104,0.3896,CV,2.0334,1.818,-3.9746819045682034,-3.9774785009938762,0.48756,-2.19309,33.1649
5,160,0.2116,0.7884,CA,7.9152,7.2313,-12.203933992121556,-11.070594921132518,32.44707,-1.0566,47.2226
5,161,0.6615,0.3385,CV,2.108,2.3376,-4.352312520408997,-4.559554341215099,-1.04688,-0.58032,33.1069
6,160,0.3796,0.6204,CA,3.243,2.3675,-10.768835826803624,-10.381550727956007,34.66404,-0.48234,51.6394
7,160,0.5427,0.4573,CV,1.328,0.8697,-14.294802112657626,-14.334392908586194,27.29825,0.11469,53.7163
8,160,0.6083,0.3917,CV,1.7203,1.4608,-21.88126759617507,-21.957875361720795,18.34635,0.16113,49.6494
9,160,0.6646,0.3354,CV,1.8345,2.2304,-16.821706010246217,-17.046029214944497,6.0722,0.23121,41.4169
10,160,0.6273,0.3727,CV,4.7229,4.9104,-23.779067011235394,-23.756114232254863,-5.05298,0.02979,34.3978
11,160,0.5752,0.4248,CV,3.9062,3.7048,-37.79745016498568,-37.612972766573094,-6.75799,0.12885,30.168
13,160,0.5,0.5,CA,7.8241,7.5804,-47.796112948360864,-47.47721763204998,-7.05309,0.24775,27.6812
14,160,0.4817,0.5183,CA,6.1005,5.7978,-23.888315489142883,-23.512790984409108,-8.53569,0.20449,26.066
15,160,0.3136,0.6864,CA,9.6663,9.3037,-22.974973194281297,-21.915540974752677,-13.92317,0.23577,27.4549
16,160,0.2681,0.7319,CA,8.0067,7.4465,-11.509057807115436,-10.465850479291229,-21.18919,0.49638,31.3182
16,161,0.5,0.5,CA,6.6816,6.6822,-8.661625875168632,-8.664454136510974,-0.01098,0.00056,16.0131
17,160,0.4608,0.5392,CA,1.6853,0.9705,-4.251364998734781,-4.119053639590124,-20.08879,0.44224,33.8404
17,161,0.5759,0.4241,CV,2.8898,2.8916,-4.815736039557306,-4.8192418452922645,0.12993,0.00884,13.934
18,160,0.4789,0.5211,CA,4.0447,3.5078,-5.364259088684678,-5.033476586806253,-20.25091,0.54182,37.3252
18,161,0.6022,0.3978,CV,2.316,2.3118,-4.220385474429469,-4.2232709012762175,0.20349,0.13804,13.5353
19,160,0.4196,0.5804,CA,5.2188,4.5148,-6.339067889747522,-5.742591953154332,-24.37788,0.36323,41.272
19,161,0.6136,0.3864,CV,0.9886,0.9966,-3.6900624370922697,-3.7019790226723557,0.0471,0.10653,13.2598
20,160,0.4472,0.5528,CA,4.9724,4.4068,-6.276827961509623,-5.876897892790965,-25.67511,-0.19013,44.1293
20,161,0.616,0.384,CV,1.8608,1.8552,-4.002995744740618,-4.008239955477783,0.06525,0.18961,13.11
21,160,0.6372,0.3628,CV,3.7147,4.3371,-5.241601585379658,-5.577827406989111,-9.30274,-0.66108,42.2896
22,160,0.6485,0.3515,CV,2.1495,2.3244,-4.352430375153813,-4.462275580905962,-2.38872,-0.61243,34.95
23,160,0.622,0.378,CV,3.6594,3.5964,-6.273559304018905,-6.252209250715822,-3.42719,-0.71749,30.0118
24,160,0.5945,0.4055,CV,4.3317,4.2176,-6.7307255456259565,-6.633520130927203,-4.02626,-0.80965,26.5249
24,161,0.5,0.5,CA,1.4376,1.4418,-5.220077596196138,-5.232112743300914,-0.01398,-0.03076,13.5282
25,160,0.6031,0.3969,CV,3.6798,3.6267,-6.44794255451924,-6.427251661375669,-2.78981,-0.82573,23.6774
25,161,0.577,0.423,CV,0.8872,0.8894,-3.8949840608572517,-3.9033353514966818,-0.00968,0.02345,12.7195
26,160,0.6217,0.3783,CV,3.0979,3.1518,-6.838306299818657,-6.883350756071568,-1.01376,-0.53939,22.1339
26,161,0.6017,0.3983,CV,3.7996,3.8012,-5.325135553512781,-5.32415810556794,0.06787,-0.07048,11.9573
