frame,track_id,mu_CV,mu_CA,dominant,nu_CV_norm,nu_CA_norm,L_CV,L_CA,ax,ay,P_trace
35,47,0.7,0.3,CV,155.4573,155.4573,-17.42023671945076,-17.42023671945076,0.0,0.0,23746.0545
36,47,0.6472,0.3528,CV,78.5556,78.5556,-16.675584657622906,-16.685356603352073,12.74401,18.40147,31865.7722
37,47,0.5798,0.4202,CV,348.3552,349.1083,-23.778130694045174,-23.582824735438454,-138.83807,-35.76122,45907.8583
38,47,0.6456,0.3544,CV,170.7693,181.206,-16.72469516058826,-16.906788745246182,82.18451,-2.76298,56891.4732
39,47,0.6148,0.3852,CV,271.3395,275.2627,-19.90400062692747,-19.856421433142863,-118.28835,51.56074,60974.5816
40,47,0.5494,0.4506,CV,405.0355,410.591,-29.031120371505324,-28.760456789812636,-42.1094,-48.91243,56338.0407
41,47,0.6214,0.3786,CV,330.8909,340.8156,-22.716838757883185,-22.83867076954282,-51.6583,8.22554,55363.4476
42,47,0.5867,0.4133,CV,258.0958,255.8491,-18.937817784787217,-18.809348597455227,-6.53613,51.9278,51723.7544
43,47,0.5803,0.4197,CV,207.7523,202.5594,-19.784423150375346,-19.68059545545991,6.77982,31.51996,50374.4943
44,47,0.6073,0.3927,CV,186.2007,187.1249,-17.75426066212913,-17.77171027431288,27.64294,19.66817,47804.6801
45,47,0.6215,0.3785,CV,162.3443,165.0392,-16.599591566042616,-16.63730448124662,21.5003,0.54205,44429.1062
46,47,0.618,0.382,CV,188.659,188.9649,-18.613831108958596,-18.615918175938223,4.00397,9.40136,43849.1065
47,47,0.615,0.385,CV,229.6991,229.506,-18.894245728993,-18.888899535059796,18.92371,7.48627,42681.1356
48,47,0.619,0.381,CV,222.3632,223.6006,-17.59908801765129,-17.61482319006297,2.79373,3.30416,39734.3779
49,47,0.6142,0.3858,CV,250.2912,250.2513,-18.467472042080434,-18.45715187745325,7.87779,-15.27811,38061.4812
50,47,0.6173,0.3827,CV,130.9477,131.3069,-16.52717334281422,-16.536847991258675,10.78889,-1.4235,37125.8555
51,47,0.6184,0.3816,CV,206.7096,207.3788,-18.185481607516685,-18.19546958634878,-7.01508,0.65729,36939.1444
52,47,0.6168,0.3832,CV,130.2342,129.8811,-17.30830997732321,-17.30978450811585,-11.81527,-2.1381,36682.7966
53,47,0.6182,0.3818,CV,105.4981,105.9527,-16.39664547186761,-16.406553663545708,-2.91302,-0.89283,35646.9315
54,47,0.6114,0.3886,CV,310.1072,309.8968,-19.568649929469245,-19.547735212338175,-15.72864,-14.7725,34575.806
55,47,0.6175,0.3825,CV,256.5264,257.5781,-18.330530478813913,-18.34529541997455,-0.36163,7.28089,34266.8703
56,47,0.6141,0.3859,CV,304.7672,304.9201,-21.130701302776394,-21.12228529200516,15.91233,7.45697,35697.7934
57,47,0.6139,0.3861,CV,243.6389,243.4744,-19.797778094013424,-19.793213365083595,13.71591,-5.98519,37410.0526
58,47,0.6165,0.3835,CV,258.9347,259.5737,-18.456295796656036,-18.46339842581087,9.59857,5.71935,35805.656
59,47,0.6132,0.3868,CV,350.806,351.184,-20.52063963389397,-20.50983367600917,-16.64341,-1.29419,34548.6141
