track_id,n_frames,mean_mu_CV,mean_mu_CA,mu_flips,cv_dominant,needs_CT
47,33,0.608,0.392,2,True,False
51,9,0.609,0.391,0,True,False
52,136,0.58,0.42,10,False,False
53,100,0.553,0.447,8,False,False
54,46,0.593,0.407,2,False,False
55,118,0.609,0.391,2,True,False
56,59,0.612,0.388,0,True,False
57,68,0.605,0.395,0,True,False
58,57,0.593,0.407,2,False,False
59,56,0.615,0.385,0,True,False
60,21,0.537,0.463,2,False,False
61,57,0.603,0.397,0,True,False
62,100,0.618,0.382,0,True,False
63,67,0.615,0.385,0,True,False
64,4,0.648,0.352,0,True,False
66,84,0.616,0.384,0,True,False
68,84,0.614,0.386,0,True,False
69,80,0.612,0.388,0,True,False
70,11,0.482,0.518,4,False,True
71,33,0.554,0.446,2,False,False
72,17,0.492,0.508,4,False,False
73,62,0.617,0.383,0,True,False
74,30,0.547,0.453,2,False,False
75,77,0.617,0.383,0,True,False
76,71,0.614,0.386,0,True,False
77,63,0.615,0.385,0,True,False
78,1,0.7,0.3,0,True,False
79,12,0.463,0.537,3,False,False
80,183,0.612,0.388,4,True,False
81,30,0.481,0.519,6,False,False
83,99,0.616,0.384,0,True,False
84,9,0.615,0.385,0,True,False
85,44,0.498,0.502,9,False,False
86,126,0.615,0.385,0,True,False
90,5,0.397,0.603,1,False,False
92,93,0.596,0.404,5,False,False
93,10,0.595,0.405,2,False,False
94,37,0.52,0.48,8,False,False
96,31,0.564,0.436,2,False,False
97,8,0.647,0.353,0,True,False
98,103,0.616,0.384,2,True,False
99,32,0.572,0.428,2,False,False
