frame,track_id,mu_CV,mu_CA,dominant,nu_CV_norm,nu_CA_norm,L_CV,L_CA,ax,ay,P_trace
41,170,0.7,0.3,CV,94.0196,94.0196,-18.940457341176653,-18.940457341176653,0.0,0.0,858.5032
42,170,0.6381,0.3619,CV,97.6605,97.6605,-21.32810747664533,-21.298032131006874,12.66794,-3.95169,1235.1594
43,170,0.5909,0.4091,CV,84.1935,83.553,-21.709204673374423,-21.5730866880304,30.46335,-7.97556,1938.5031
44,170,0.5489,0.4511,CV,80.645,78.7291,-27.304591677904867,-27.066778926804044,45.93472,-6.89751,2754.3921
45,170,0.5446,0.4554,CV,64.0514,61.2341,-37.265060622900094,-37.071365503132846,55.43621,-7.82244,3508.4991
46,170,0.5516,0.4484,CV,54.7165,51.4414,-50.475970112267845,-50.316551844165105,58.34891,-8.28842,4131.2313
47,170,0.56,0.44,CV,51.4043,48.0076,-57.20483927982103,-57.06932049859598,57.79797,-6.92318,4617.2067
48,170,0.5768,0.4232,CV,56.1782,54.1967,-79.53972923393654,-79.46074721970254,52.40266,-7.2858,4825.5803
49,170,0.5866,0.4134,CV,41.4545,39.0405,-89.42154058636149,-89.3582034203019,45.81294,-5.78158,4925.624
50,170,0.5762,0.4238,CV,68.5545,66.5638,-90.28807627024305,-90.16771548626123,46.58937,-5.99342,4908.4213
51,170,0.5468,0.4532,CV,98.9654,96.9341,-75.0819492793671,-74.85735210347632,54.31039,-7.07668,4831.7877
52,170,0.5009,0.4991,CV,125.052,122.9147,-78.46729593985484,-78.10114170049425,67.58368,-9.62,4689.2584
53,170,0.5208,0.4792,CV,71.9893,69.5787,-82.85886602773964,-82.6383889176145,68.65347,-9.60921,4565.0988
54,170,0.5354,0.4646,CV,55.4249,52.83,-77.66515392841315,-77.47493222354586,68.96738,-8.53017,4380.6161
55,170,0.5645,0.4355,CV,34.2355,31.7553,-70.96109283742726,-70.86745419075154,60.42396,-6.61801,4138.2201
56,170,0.5713,0.4287,CV,34.8946,32.3977,-48.58563956464292,-48.47734424556633,56.76255,-4.43379,3893.7512
57,170,0.6096,0.3904,CV,15.2489,15.6051,-51.619698901710635,-51.66020022060181,34.65788,-0.62201,3646.4565
58,170,0.6158,0.3842,CV,19.3291,18.7123,-63.63094878641393,-63.64134965057336,23.58475,0.72765,3315.5719
59,170,0.6091,0.3909,CV,32.3622,31.5794,-42.93036634511995,-42.903252856859424,21.60845,1.78754,3076.7209
60,170,0.6158,0.3842,CV,18.9726,18.6963,-25.29925920368602,-25.310162581702947,13.67637,2.54876,2868.888
61,170,0.6178,0.3822,CV,69.7543,70.2858,-16.634816002198868,-16.644530344978456,-3.5489,3.55338,2733.0927
62,170,0.604,0.396,CV,65.5606,65.2434,-14.224768143909598,-14.173445153204646,-10.27862,3.89288,2608.7056
63,170,0.5983,0.4017,CV,61.1272,60.6478,-14.451617843703977,-14.396706872639108,-12.43872,3.0574,2428.5482
64,170,0.5958,0.4042,CV,50.5839,49.9854,-17.70689719742944,-17.650071704014838,-12.642,3.40442,2275.8005
65,170,0.592,0.408,CV,54.7145,54.1899,-19.873739118855113,-19.805016074080527,-12.58257,3.08813,2088.2362
66,170,0.5896,0.4104,CV,42.9464,42.3275,-28.473139277216518,-28.399865641031965,-12.23042,3.4683,1905.52
67,170,0.6039,0.3961,CV,22.3326,21.9845,-55.621707032868024,-55.61138753312037,-10.46413,2.81661,1791.3566
86,173,0.7,0.3,CV,4.8606,4.8606,-7.894763997077863,-7.894763997077863,0.0,0.0,97.8458
87,173,0.6478,0.3522,CV,4.0883,4.0883,-7.298494681638193,-7.310687965329788,-0.27516,1.77129,132.0558
88,173,0.5606,0.4394,CV,21.4405,21.4587,-16.491915368367184,-16.217305544878112,-2.65987,0.30764,193.943
89,173,0.4249,0.5751,CA,13.3076,12.497,-13.42397366405625,-12.731491249857687,-10.71009,-4.72334,266.59
90,173,0.6358,0.3642,CV,18.1741,19.6333,-14.603394495264265,-14.964987397862782,-7.62369,1.19266,282.6556
91,173,0.6169,0.3831,CV,9.0366,8.8768,-10.812553228454398,-10.788541519820058,-10.51074,3.39207,238.008
92,173,0.5424,0.4576,CV,17.6317,17.4613,-12.57213986565679,-12.270104137731568,-6.55382,5.30834,228.9052
93,173,0.5802,0.4198,CV,11.2176,11.1045,-12.15324887251256,-12.113588966298707,-7.36128,5.66835,208.6488
